# FILE DATA
ID : MDRW2100014067
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 운동하시는 거 있으세요?
P1 	: 아니요ㅠㅠ저는 그냥 딱히 없고 걷기 해요 유산소
P1 	: 혹시 하시는 운동 있으세요?
P0 	: 저도 걷기운동ㅋㅋㅋ
P0 	: 딱히 하는 건 없어요
P1 	: 저랑 같으시군요ㅋㅋㅋㅋ 움직이는걸 별로 안좋아해요ㅠ 귀찮아서
P1 	: 집에서 쉴때는 거의 누워있는거 같아요ㅋㅋ
P0 	: 다이어트 해 본 적은 없으시겠네요?
P1 	: 아휴 당연 있죠 다이어트는!
P1 	: ㅋㅋㅋㅋㅋ다이어트 할때는 거의 식이로 했었어요
P1 	: 매번 실패였지만 ㅠ
P1 	: 다이어트 하신적 있으세요?
P0 	: 아뇨 저는 말로만 해요
P0 	: ㅋㅋㅋㅋㄱㅋㄱㅋ 홈트를 해야하는데 안 하니깐
P0 	: 해야죠..
P1 	: ㅠㅠ홈트가 젤 하기좋을것같은데
P1 	: 영상보고 따라하고 이런게
P1 	: 잘 하고 있는건지도 모르겠고ㅠ 그렇더라고요
P0 	: 맞아요 그럼 헬스를 가서 pt를 받아야 되나 싶고
P0 	: 그럼 또 돈이 걱정이고
P1 	: 맞아요 맞아욬ㅋㅋㅋㅋㅋㅋ 굳이 돈 내가며 해야되나 싶고
P1 	: 근데 다이어트 아니더라도 건강 생각하면 운동해야하긴 하는데ㅜㅠ 귀차니즘이 다 이겨버리네요
P0 	: 맞아요 건강 생각하면 해야 되는데..ㅈ
P0 	: 홈트라도 해야겠어요
P1 	: ㅠ답 너무늦었죠 죄송해요
P1 	: 홈트 저도 한번 해볼까봐요
P0 	: 아뇨 괜찮아요ㅋㅋㅋㅋ 저도 중간에 없어지고 그래요
P0 	: 땅크부부인가? 그 분들 거 좋대요
