# FILE DATA
ID : MDRW2100024191
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저녁뭐드셨어요?
P0 	: 저는 깜빡 졸아서 타이밍 놓쳤어요ㅠ
P1 	: 아이구ㅠ 저는 저녁으로 샐러드 먹었어요!
P1 	: 저도 딱히 밥 다운걸 먹지는 않았네요...ㅎ
P0 	: 왜요~~ 샐러드 맛있는데!
P0 	: 직접 만드셨어요?
P1 	: 집앞에 샐러드집 있어서 사와서 먹었어요!
P1 	: 냄겨서 아침에두 먹으려구요ㅎㅎ
P0 	: 저도 이사왔는데 바로 앞건물에 샐러드가게있어서
P0 	: 너무 좋어요ㅎㅎㅎ
P0 	: 체인점샐러드 가게예요?
P1 	: 체인점은 아니구 개인가게에요!
P1 	: 근데 맨날 커피 마시는 사람 밖에 없어보여서 망하지 않길 기도중이랍니다..ㅠㅠ
P0 	: 앗 저두요ㅎㅎ
P0 	: 다행히 제가가는곳은 배달이 엄청많더라고요
P0 	: 배달맛집느낌
P1 	: 와!!다행이에요ㅠㅠㅠ이 사장님은...제발 배달 시작하셨으면 좋을텐데...ㅎㅎ
P1 	: 어떤 샐러드 자주 드세요?
P0 	: 어머 요즘 배달안하는 곳도 있어요?!
P0 	: 연어샐러드나 콥샐러드 좋아해요!
P0 	: 샐러디도 좋아하는데 여기서는 웜볼이나 치킨랩 이런거
P1 	: 그러게나 말이에요!!혼자하셔서 감당이 안되서 그러나 싶기두 한데요
P1 	: 와 진짜 말만들어도 맛있을것 같아요
P0 	: 근데 사실 저는 샐러드 종류보다
P0 	: 소스를 가리는 편이에요
P0 	: 오리엔탈드레싱 아니면 렌치소스 좋아해요#
P1 	: 앗 저두요...마트에서 사는거 먹었다가 소스가 발사믹이라...
P1 	: 진짜 야채맛으로 소스를 가리려고 애쓰면서 먹는건 처음이었어요...
P0 	: 악 발사믹 싫어요
P0 	: 시큼시큼
