# FILE DATA
ID : MDRW2100041921
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이대 교직원도
P0 	: 계약직인가요?!
P0 	: 근데 저희 과사무실에서 일하셨던 분 되게 오래 일하고 계셔요! 계약직이라고 들었는데
P0 	: 2017년에도 계셨는데 지금도 계시거든요
P1 	: 대부분 계약직이 많아요ㅠ
P1 	: 17년도부터 계속계신거면
P1 	: 국고사업이신가,,,
P0 	: 오오 국고사업?!
P0 	: 어려운,, 말이네요,, (숙연
P1 	: 팀이나 직책변경하면서 2년넘게 계신분들도 있으시더라고요
P1 	: 대부분 2년!
P0 	: 근데 중간에 직책 변경하셨어요!
P0 	: 오오 네 맞아요!!! 약간 그런식으로?!
P1 	: 에이스사업 링크사업같은게 국고사업이에요!
P0 	: (그래도 못알아들음
P0 	: 저....저도 내년에 취준해야하는데
P1 	: ㄱㅋㄱㄱㄱㄱㄱㅋㅋㄱㅋㅋㄱㅋㄱㅋ
P0 	: 어떡하죠... (멍청
P0 	: 흐어어엉.....
P1 	: &name1&님은 지금 배우고있는분야쪽으로 준비하시면 되죠 ㅎㅎ
P0 	: 히힛 감사해요,,,
P0 	: 취업이 잘 되어야할텐데 말이죠,,,
P0 	: 어학성적이 자꾸
P0 	: 2년이면 만기되니까 속상해요!!!
P1 	: 어맞아요ㅠㅠ
P1 	: 토익 응시료 내렸으면,,
P0 	: 맞아요 난이도는 어려워지고
P0 	: 응시료는 올라가고
P0 	: 취업문은 좁아지는데,,,
P0 	: 어쩌란걸까요~!
