# FILE DATA
ID : MDRW2100034039
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 지금 바라만 본다 ㅋㅋ들었네요
P1 	: 전 아직도
P1 	: 놀면 뭐하니에서 못 벗어 났어요 ㅋㅋ
P0 	: ㅋㅋㅋ그게 은근 오래가요
P0 	: 귓가에도 맴돌고
P1 	: 맞아요 ㅋㅋ
P1 	: 너무 잘불러주셔서
P0 	: 맞아요ㅋㅋ
P0 	: 어쩜그리 찰떡인지
P1 	: 그렇죠 유재석 진짜 잘뽑아요
P1 	: 노래도 매번 최고입니다
P1 	: 싹쓰리 지금도 들어요
P0 	: 저도요ㅋㅋ 여름 지나도 비오니 생각나요
P1 	: 그렇죠 꼭 여름 아니어도 좋아요
P1 	: 담에 겨울쯤 msg 다시 활동하면 좋겠어요
P1 	: 이대로 끝나지 않음 좋겠어요 ㅎㅎ
P0 	: 맞아요ㅋㅋ
P0 	: 한번만으론 아까워요
P1 	: 그렇죠 다시 결합 꼭해주지
P1 	: 여름마다 하는건 아쉬워요 ㅎㅎ
P1 	: 넷플에서 잼난거 있나요?
P1 	: 전 왓챠는 애니 보려고 ㅋㅋ
P1 	: 팝콘 샀어요
P1 	: 2주권 뽑았네요 ㅋㅋ
P0 	: 오ㅋㅋ 저는 웨이브보는데
P0 	: 넷플은 귀멸의 칼날이요!
P1 	: 저도요 ㅋㅋ
P1 	: 만화책 샀어요 ㅋㅋ
P1 	: 앙 23권 아직 못읽었는데 오픈 하려고요 ㅋㅋ
P1 	: 주술회전 땜시 ㅋㅋ
P1 	: 왓챠 신청해서 봤오요
P0 	: 아앗 부러워요 저는 놓은곳이 없어서 못샀어요ㅠ
P0 	: 주술회전 재밌죠
P1 	: 네
P1 	: 진짜 재 취향이예요 ㅋㅋ
P1 	: 넷플 원펀맨도 다봤어요
P0 	: 크으 최고죠
P0 	: 진짜 재밌어요
P1 	: ㅋㅋ원펀맨 2번 봤어요
P1 	: 3기 언제 나온데요 ㅜㅜ
P0 	: 그러니까요ㅠ 빨리 나옴 좋겠어요
P1 	: 그러게요 아나올까 걱정여
P0 	: 그럼 가만못둬욧
P1 	: 알바뛰는 마왕님도 안나오던데 ㅜㅜ
P1 	: 그러니까요
