# FILE DATA
ID : MDRW2100037809
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 이번멘스?
P0 	: 번개 없앨 수 있대
P1 	: 아 그 섬
P1 	: 전기장판은?
P0 	: ㅇㅇ 섬
P0 	: 전기장판도 같이 없어지나본데?
P1 	: ㅇㅎ....
P1 	: 거기 또 그
P1 	: 기괴한 장치몹들
P1 	: 돌아다녀.......
P1 	: 아니 걔네 너무 징그러워 진짜
P0 	: 그거 진짜
P0 	: 갑자기 장르 sf 아포칼립스
P1 	: ㄹㅇ......
P1 	: 물론 켄리아 시점에선
P1 	: 포스트 아포칼립스긴 하겧지만
P1 	: 굳이 티내진 말아달라....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅇ ㅏ 진짜
P0 	: 나에게 왜 이런 시련이
P0 	: 이걸 뽑아 말아....
P1 	: ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ
P0 	: ㅇ ㅏ...
P0 	: 얘네가 1주년이니까
P0 	: 뭘 좀 많이 뿌리지 않을까..?
P0 	: 소 복각하더라도 대뜸 소부터 복각할 것같진 않고
P0 	: 감우 3주 한담에 소 들어가지 않을까...?
P1 	: 아니 보통
P0 	: 그럼 대충 라이덴 20일+코코미21일+감우21일+소21일 인건데
P1 	: 통상이 구리더라도
P1 	: 픽업은 성능 좋아야하는거
P0 	: 총 80일이니까 이 안에 90연 돌릴 원석은 충분히 모으지 안ㄹ을까..?
P1 	: 아니냐구.....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 라이덴 그래도
P0 	: 신이라 나름 성능 좋게 낸거일걸....?
P1 	: 감우 알베도...
P0 	: 아하 ㅋㅋㅋㅋㅋㅋ
