# FILE DATA
ID : MDRW2100019807
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오븐 없이 프라이팬으로 만드는 뜯어먹는 빵 이라는 책이 있어요
P0 	: 헐 그런 책이 있어요??
P1 	: 책만봤어요 언젠간하려고,,
P1 	: 다른 가족들이 해주길 기다리며 책을 거실에 뒀는데
P1 	: 아무도 해주지 않았어요
P0 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 다른 가족들도 같은 마음이었을거예요..
P1 	: 맞아요 저랑 비슷한 성격이라다들,, 하면 먹어는 줄께,,라고,,ㅋㅋㅋㅋ
P1 	: 19년도에 나온 책인데 레시피는 괜찮아보였어요
P0 	: 좋은... 건가요 ㅋㅋㅋㅋㅋ
P0 	: 노오븐 베이킹이라니 혹하긴 하네요
P1 	: ㅠㅠ 콩심은데 콩나는건 어쩔수없죠 ㅋㅋㅋㅋ
P0 	: 책 보고 해보셨어요?
P1 	: 한 번 해봤는데 빵 같인 나왔어요
P0 	: 앗 ㅋㅋㅋㅋㅋ 그럼 성공이네요
P0 	: 전 오븐 없어서 베이킹 생각 못하고 있엇는데 프라이팬이라니 함 찾아봐야겠어요
P1 	: 하기 쉬워요 식사빵은 들어가는 재료도 적구요
P1 	: 그치만 밥하기보단 귀찮단 점..
P0 	: 아 ㅋㅋㅋㅋㅋ 그쵸 밥보다는 귀찮죠 ㅋㅋㅋㅋ
P0 	: 이스트 같은것도 마트에서 사세요?
P1 	: 그래서 한 번 해보고 와..귀찮자 하고 끝..
P1 	: 이스트. 밀가루. 소금 바닐리향 정도는 큰 마트먄 팔고요 바닐라빈 이런걸 쓸라믄 온라인 쇼핑을 해야져
P0 	: 바닐라빈 들어갈 정도의 고급 베이킹은
P0 	: 아직 먼 얘기인거같아요 ㅋㅋㅋㅋ
P0 	: 푸딩은 한번 해보고 싶긴 해요
P1 	: 푸딩이 의외로 어려웠어요
P1 	: 계란찜이냐 푸딩이냐가 한끗차이더라고요
P0 	: 그쵸 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저도 달달한 계란찜 됐다는 후기 보고 선뜻 도전을 못하고 있어요
P1 	: 이게 질감이 퍼석해도 계란찜이 되고
P1 	: 계란 비린내가 나도 계란찜이 되고..
P1 	: 계란이 쌀 때 함 도전해보세요
