# FILE DATA
ID : MDRW2100037583
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>동기/동료/동업자
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 점심 맛있게 먹었어요?
P1 	: 배부르다ㅋ
P1 	: 아아 드링킹중
P0 	: 다이어트 하는가 보네요ㅋㅋㅋ
P0 	: 아아 잡수시는 거 보니
P1 	: 라떼가업네 집에ㅋㅋ
P1 	: 오늘은 카누 아아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ없는거 였어 ㅋㅋㅋ
P0 	: 오늘 1일인데 ㅋㅋㅋ
P0 	: 다요트 시작합니꺼??
P1 	: 그래야되는데
P1 	: 현실은 지금 라떼드링킹증
P0 	: 난 오늘 땀을 너무 많이 흘렸더니 입맛도 없네요
P0 	: 이 기세를 몰아 저녁을 먹지 않겠어요
P1 	: 진짜?
P1 	: 정말?
P1 	: 나 라면먹을꺼야ㅎㅎ
P1 	: 밥도말거야ㅋㅋ
P0 	: 언니 시급 폭발했네요ㅋㅋㅋㅋ
P0 	: 식욕 ㅋㅋㅋㅋㅋ
P1 	: ㅋㅇㅋㅋ 그러게 울신랑있으니 더 먹게되노ㅋㅋ
P1 	: 백신맞고와서 계속 징징
P1 	: 에휴
P0 	: ㅋㅋㅋㅋㅋㅋㅋ오늘은 애가 셋이구만요~
P0 	: 맛있게 먹고 일찍자요 ㅋㅋㅋㅋㅋ
P0 	: 더 징징하기 전에 ㅋㅋㅋㅋ
P1 	: 어ㅋ 그래야지ㅋㅋ
P1 	: 애들오면 밥먹고 오늘 얼른 쫑!
P0 	: 역시 사람마음 똑같음 ㅋㅋㅋㅋ
P0 	: 애들 아직 안왔어여?
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 땅콩먹고싶다하더니 사와서 삶고있다 울신랑 직접
