# FILE DATA
ID : MDRW2100017720
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 감튀 예찬을 해볼까
P0 	: 나감튀먹을거야
P0 	: 헐
P0 	: 뭐약
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 감튀 아직두 있나
P0 	: 어어 이제2봉남았어
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 총 몇봉 샀어
P0 	: 그때한박스가..
P0 	: 16봉이었던거같은데..
P0 	: 다신박스로는안살거야    권태기같은순간이온다
P0 	: 감태기
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 마자요 이해합니다
P1 	: 나도 박스채 샀다가 권태기 왔어요
P0 	: 다신 이렇게안사요
P0 	: 슬의에서맥날먹어요
P0 	: 맛있어보여요..
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 전 어제 맥날 먹어서 안 부러워욧
P0 	: ㄱㅋㅋㅋㄱㅋ아ㅋㅋㅋ
P0 	: 저도어제 3데리버거때렸는데..
P0 	: 맥날이아니니만족이안되네
P0 	: ㄱㅈㅋㅈㄱㅈㄱㅈㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 내일은 맥날 드십쇼
P0 	: 한달에 맥날을 몇번이나먹는지..ㅋㅋㅋㅋ
P0 	: 오늘점심메뉴는모였어용
