# FILE DATA
ID : MDRW2100037822
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전 빵에든 건포도는 좀 먹어요
P0 	: 아~ 그러시군여 ㅋㅋㅋㅋ
P1 	: 막 좋아하지는 않는데
P1 	: 거르진 않는 정도...?
P0 	: 저는 고구마식빵 이런건 좋은데 진짜 어릴때 엄마가 건포도 든 빵만 사와서 너무 힘들었어요 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ  그런 분들 많더라구요
P1 	: 빵은 뭐 좋아해요?
P0 	: 저는 이성당빵 좋아해요!!!
P0 	: 거기 슈크림빵 제 최애{emoji:♡}
P1 	: 오호, 전 명란바게트 좋아해요.
P1 	: 그리고 카스테라!
P0 	: 옹! 저는 명란바게트 맛있다는 이야기만 듣고 아직 못먿어봤어요ㅠㅠ
P0 	: 명란파스타는 맛있쥬.. ㅋㅋㅋㅋㅋ
P0 	: 그럼 그 빵도 맛있겠네요 ㅋㅋㅋ!!!
P1 	: 네, 근데 좀 조심해야해요
P1 	: 딱딱해서 잘못하면 입천장같은데 까짐ㅠ
P0 	: 아앜ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 눈앞에서 그려지는 낭패...ㅋㅋㅋㅋ
P0 	: 많이 까지셨을것 같은데요??
P0 	: ㅠㅠ
P1 	: 네....
P1 	: 갓 구워 나온거 운좋게 겟하면 괜찮은데
P1 	: 좀 지난거, 혹은 내가 킵해뒀다 먹으면
P1 	: 까집니다...
P0 	: 또르르.. 바게트종류가 좀 그래요 ㅋㅋㅋㅋㅋ
P0 	: 저는 한참 그냥 바게트 크림찍어서 먹는거 중독되서 사먹었는뎈ㅋㅋㅌ
P0 	: 아아.. 그때 잘못씹으면 그랬던것 같아요
P1 	: 아, 그것도 맛있죠
P1 	: 바게트 은근 맛있는데 딱딱해요..ㅠ
