# FILE DATA
ID : MDRW2100037461
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 늘 많이써서 이제 아무것도아니게 느껴집니다ㅋㅋㄲ
P1 	: 앗 아직 달리고계시는군요
P0 	: 아니ㅋㅋ 그래서 동생이 더 치우기 싫어하는 거 아녜요ㅎ
P1 	: 내일 또 고생하시는거아닌가요!!!!jnj
P1 	: 아ㅋㅋㅋㅋㅋㅋㄱ..역시그것인가...
P0 	: 집에 왔더니 어머니가 비빔국수를 해두셔서
P0 	: 아녜욧!
P1 	: 우와
P1 	: 엄마표비빔국수...ㅜㅜ.{emoji:♡}
P0 	: 그거부터 먹고 피맥을 하려니 시간이 늦었네요ㅎ
P0 	: 엄마표 JMT
P1 	: 이야 집에서도 2차...진짜배우신분 먹을줄아시는분
P1 	: 어머니음식은진짜다JMT{emoji:♡}
P0 	: ㅎㅎ 맥주는 딱 세캔만 먹고 자려구요
P0 	: 피자도 세 조각만!
P1 	: 악ㅋㅋㅋㅋ
	  3세트 깔끔하네요ㅋㅋㅋ  멋지시당
	  저도 맥주 잘먹고싶습니다ㅜㅡㅜ
P0 	: ㅎㅎ 무알콜도 있잖아요
P0 	: 술 약하면 탄산수랑 맥주 섞어도 괜찮아요
P1 	: 오 탄산수랑 맥주 섞어도 괜찮나요? 오옷
P0 	: ㅎㅎ 의외로 괜찮아요. 맥주느낌인데 순해져서 부담없쥬ㅎ
P0 	: 다음날 일 많거나 부담스러울때 반반 타마셔요
P1 	: 와 그거 나름 방법이네요! 
	  저 사실 생맥주? 고건 조금먹는데 캔이나 병맥은 좀 맛이없게 느껴지더라구요
	  과일향탄산수 ?  그거 섞어도 괜찮을거같아요 
	  예전에 자몽향맥주 고건 좀 괜찮았던기억이나가지구ㅎㅎ
P1 	: *_*)시도해봐야지..흐흐
P0 	: ㅎㅎ 찐주당에게는 못 권하는 방법이지만
P0 	: 우린 안주가 메인인 술알못이니까요ㅎ
P0 	: 도전!!
