# FILE DATA
ID : MDRW2100004738
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 기타

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 내일 출근하시나요?
P1 	: 이건 두명을 죽이는 행위에요
P1 	: 저는 대학원생이라 내일 출근한답니다
P1 	: 하지만 저는 당신이 저와같은 생활을 한다는건
P1 	: 알고있어요
P1 	: 까짓거 갈때까지 가보죠^^
P1 	: 교수님이랑 연락은 되시나요?
P0 	: 아 전혀 안되죠 미치죠
P1 	: 보통 연락이 안되고 미칠 땐 어떡하시나요?
P1 	: 저는 오히려 좋아서 술과 게임으로 심신을 달래요
P0 	: 네 저도 교수욕 쌔리 갈기다가 살인하는 게임 키곤 해요^^
P1 	: 살인하는 것이 몬스터가 맞나요?
P1 	: 무언가를 투영하는것은 아닌가요?
P0 	: 순수한 스트레스 해소용입니다^^
P0 	: 건전한 게임문화를 즐기는 것이지요
P1 	: 게임은 정말 멋져요
P1 	: 학업스트레스를 풀기위해
P1 	: 현실에선 할 수 없는 범죄행위를
P1 	: 할수잇죠
P0 	: 하교 후에 친구랑 게임하는 게 낙입니다..
P0 	: 오버쿡드 하고싶어요
P1 	: 저희는
P1 	: 학교생활에 대해서만
P1 	: 얘기해야해요
P1 	: 과제가 밀릴 때 비법이 있나요?
P1 	: 수강신청하셨나요*?
P1 	: 동기의 감쓰통이 되셨나요?
P0 	: yes
P0 	: *yes
P0 	: yes
P0 	: 과제가 밀릴 땐 주로 현실도피로 해결하는 편이에요
P1 	: 저도 급박할땐 오히려 즐겁게 놀아요
P1 	: 지금처럼요
P0 	: 전 개강 이틀 전까지 해오라고 한 거 안 하려구요
P0 	: 월요일에 한시간마다 전화돌릴거예요
P1 	: 반드시 승리를 쟁취해서
P1 	: 교수님께 벗어나시길 빌게요
P0 	: &name2&님도요...
P0 	: 성공하면 그날
P0 	: 샆이든 옵이든 뭐라도 해주세요
P0 	: 샆들어와
P1 	: 미쳐
P0 	: 저 지금 하교합니다
P0 	: 퇴근이긴한데
P0 	: 학교에서 일하는거니까 이것도 하교 아닐까?
P1 	: 가여워..
P1 	: 영원한 하교
P1 	: 완전좋지~
