# FILE DATA
ID : MDRW2100028952
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 노래 추천 해줭
P1 	: 음...
P0 	: ㅎㅎ
P1 	: 요즘엔 조이의 헬로? 가 좋은 것 같아
P0 	: 빨리이
P1 	: 헬로가 아니라 안녕이구만 ㅋㅋ
P0 	: 나도 그 노래 좋아!!
P0 	: 띵곡이지
P0 	: ㅎㅎ
P1 	: 맞아 여름같지
P0 	: 맞아
P1 	: 너는 또 좋은노래없어?
P0 	: 9월은 가을이긴 하지
P0 	: 나는 ..
P0 	: 레드벨벳 퀸덤이랑
P0 	: 그 뭐야
P0 	: 이무진의 신호등이
P0 	: 좋아.
P1 	: 노래잘알이네 ㅎㅎ
P1 	: 나두 좋아해
P0 	: 인정 ㅎㅎ
P0 	: 태연 노래도 좋은거같애
P1 	: 태연 노래는 다 좋지
P0 	: 요즘에 길에서도 자주 들리더라구
P0 	: 맞아 ㅎㅎ
P1 	: 혼자 만의 영화관~
P0 	: ㅎㅎ
P1 	: 먼노랜지 알겟어?
