# FILE DATA
ID : MDRW2100030391
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 사실 내가 연애하고 싶어서
P0 	: 이걸로 바꿈
P0 	: 아 연애하고 싶다
P0 	: 연애하고 싶다
P1 	: 당신
P1 	: 지금 모쏠이게.하실 말씀입니까?
P1 	: 우선. 님친이 잇엇는지. 물어보는게. 먼저. 아닌가요?
P1 	: 어떻기 샹각하시는지 휴먼?
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: &name2&의 이상형은 무엇인가요
P0 	: 매우 궁금합니다
P1 	: 아...저의 최애 스트라이크 존은 잇지만 ..
P1 	: 이상형이요?
P1 	: 우선 얼굴...얼굴..얼굴..
P1 	: 그리고 인성과 하나님을 믿어야 함..
P0 	: 얼굴이 최고구나
P0 	: 하긴 존잘이 최고지
P1 	: 그쵸 우선 외향이 반 이상 목고 들어가지
P1 	: 너는 아직도 이상형이
P1 	: 추어탕잘먹는남자니?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 추어탕 잘 먹는
P0 	: 섹시한 남자
P0 	: 추가로 아침에 삼겹살 구워주는 남자
P0 	: 대신 조건이 있음
P0 	: 옆에 김치랑 팽이버섯도 같이 구워줘야 함
P0 	: 완벽 그 자체
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 세세한 부분까지 ㅋㅋㅋㅋㅋ
P1 	: 나도 더 추가하면
P1 	: 나보다 키가 더 커야 해
P0 	: ㅋㅋㅋㅋㅋㅋㅋ그리고 조건이 하나 더 있어
P0 	: 잘생겨야 함^^
P1 	: ㅋㅋㅋㅋㅋ 잘생기고 키큰 추어탕 잘먹고 고기 김치 팽이버섯 잘 굽는 섹시한 남자가
P1 	: 당신 이상형이군요 ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ넵 맞습니다 바로 그거!!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 나는 귀엽고 듬직햇음 좋겟네...
P0 	: 귀여운데 듬직해..?
P0 	: ㅋㅋㅋㅋㅋ이건 무슨 조합이야
P1 	: 너 귀여움과 듬직의 조합을 모루는구나
