# FILE DATA
ID : MDRW2100018318
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 요즈음 날씨 오락가락이라 대처를 못 하겠어
P1 	: 내일 비왔으면 좋겠다
P1 	: 나가기 시름
P0 	: 나는 안왔으면 좋겠다
P0 	: 집 밖을 나가는 이상
P1 	: 엥
P0 	: 비가 오면 기분 다운이야
P1 	: 하긴 맨날 나가지
P0 	: 하지만 근무중엔 비가 왔으면 좋겠다ㅋㅋㅋ
P0 	: 알지 내 마음?ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ 아무도 안왔으면 좋겠다는 ㅋㅋㅋㅋ
P0 	: 월급은 받아야지...
P0 	: 점심시간, 칼퇴만 지켜주세요 제발
P1 	: 이제 가을인데
P1 	: 좀 시원해지면 좋겠다
P1 	: 너무 더움
P0 	: 맞아 낮엔 아직 덥다더라
P0 	: 나는 안에 있어서 잘 모르겠지만
P0 	: 다들 아직 날씨 때문에 화내더라ㅋㅋㅋ
P0 	: 그래도 밤은 시원해서 다행이야
P1 	: 밤은 시원하긴 하지
P1 	: 근데 비 안오면 너무 더움
P0 	: 하긴 처서가 지나긴 했지만 아직 8월이구나
P0 	: 그래도 명절 즈음엔 시원해질거야
P0 	: 조금만 더 버티자
P1 	: 계절이 제 계절이 아님
P0 	: ㅋㅋㅋㅋ그건 그렇지
P0 	: 모처럼 가을 다가오는데 가을에 하고 싶은거 있나
P1 	: 겨울도 겨울이 아니고 여름도 여름이 아님 너무 덥거나 너무 춥거나임
P1 	: 가을에는 책을 읽어야지
P0 	: 독서의 계절
P0 	: 멋지구먼
P0 	: 책 좋지
P0 	: 나도 읽어야 하는데
P0 	: 손만대고 페이지가 안넘어가
P1 	: 오늘 나가는데 비온 거 생각해서 하나 더 입고 나가려다가
P1 	: 반팔 하나만 입고 나갔음
P0 	: 더웠겠는데
P1 	: 긴바지도 덥더라
P0 	: 긴바지는 아직 무리지ㅋㅋㅋ
P0 	: 나는 아직 반팔과 반바지를 사랑해
P1 	: 원래 사계절 내내 긴바지 입는데
P1 	: 덥긴 더워
P0 	: 긴바지 입고 땀띠난 걸 잊지 못한다
P1 	: 그래도 9월 되면 시원하겠지
P1 	: 처서도 지났는데
P0 	: 처서도 지났고 추석이 오고 있으니까
P0 	: 더 시원할거야
P1 	: 이번 겨울은 어떨까 완전 추울 거 같음
P0 	: 이번 여름이 더웠으니 나도 그렇게 예상하고 있는데
P0 	: 패딩을 미리 하나 더 주문할걸
P0 	: 후회중이긴해
P1 	: 미리 패딩을 하나 살까 싶긴 해
P1 	: 너무 춥지만 않으면 좋겠다
P0 	: 싸게살거면 지금은 조금 늦은 감 있지만 그래도 올해 신제품 나올 시즌이니까 보고 괜찮은걸로 미리 구비하자
P0 	: 추위에 된통당하고 사면
P0 	: 화날거같음
P1 	: 미리 사놓는 게 좋지 시즌 되기 전이 싸니까
