# FILE DATA
ID : MDRW2100017827
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 하나 먹어야한다면
P0 	: 저녁 뭐 먹었어요
P1 	: 솔의 눈 vs 데자와
P0 	: 아
P0 	: 저걸 고르라고?
P0 	: 악마다진짜
P1 	: 앗 저녁 아직 안먹었는데 프로틴 쿠키랑 두유 먹을라고요
P0 	: 와 둘 다 입에도 대기싫은데
P1 	: 지옥의 밸런스게임 시작해보자고요
P0 	: 와 저걸? 고르라고?
P0 	: 와 솔의눈
P0 	: 사우나맛을 느끼겠어
P1 	: 와 차라리 데자와를 먹고말지
P1 	: 카레맛 똥 vs 똥맛 카레
P0 	: 와 우리 15cm  멀어져요
P0 	: 와 진짜 무슨
P0 	: 악마세요?
P1 	: 컴온.
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저거 고르고 하나 더있어요
P1 	: 배달 왔을 때 하나 골라야한다면
P0 	: 하 차라리 먹을수있는거
P0 	: 똥을 어찌먹어
P1 	: 비보잉 댄스 추면서 와서 초밥이 덮밥 됨 vs 벨 누르고 왕자님 배달왔습니다 해줌
P1 	: 오케이 맛보단 영양이군요
P0 	: 저게 뭐옄ㅋㅋㅋㅋㅋㅋ
P0 	: 뭔 저런예시가 다 있어ㅋㅋㅋㅋ
P1 	: 전 덮밥
P0 	: 아 근데 덮밥되는건 못참겠다 왕자님할래
P0 	: 초밥이은 초밥 그대로일 때 심신의 안정이 온다구요
