# FILE DATA
ID : MDRW2100014058
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네 말해봐쇼
P1 	: 엑소 팬사 가느라
P1 	: 수학여행을 못갓어요
P0 	: 엥
P1 	: 그때 딱 팬사인회라
P0 	: 그래도 되는거에요?
P1 	: 수학여행 안가고 그거 갔어요
P1 	: 네네
P0 	: 대박
P0 	: 엄청난 팬이셨구나
P1 	: 애들 흑돼지 사진 보낼때
P1 	: 저 혼자 경수 찍어서 보내고
P0 	: ㅋㅋㅋ대단하다 진짜
P0 	: 가서 뭐 물어봤어요
P0 	: 경수야 나 수학여행 째고 여기왔어.ㅈ.
P0 	: 그러셨나요
P1 	: 엇 그랬던 거 같기도 하고
P1 	: 제가 행복하긴 했는데
P1 	: 횡설수설 했을거에요 아마
P0 	: 행복하면 된거죠
P1 	: 수능보기 전날에도 가고 그랬어요
P0 	: 가장 좋아하는 가수를 눈앞엣 보는..
P0 	: 네..,
P1 	: 그러지 말걸..
P1 	: 쓰읍..
P1 	: 유툽 보시는 거 있으신가요
P0 	: 유튜브 예능 클립같은거 봐요
P0 	: &name2&은 뭐보시나요
