# FILE DATA
ID : MDRW2100045945
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네 ㅎㅎ
P0 	: 프랑스 음식을 제가 엄청 좋아해서
P0 	: 한 1년 살고싶었어요 ㅎㅎ
P0 	: 길게 갔는데도 ㅎㅎ
P1 	: 우와
P1 	: 프랑스 음식들 맛있나요?
P0 	: 제 입맛엔 맞았어요 ㅎㅎ
P0 	: 와인도 좋아하구요
P1 	: 와인 좋아하시는군요!
P1 	: 어떤걸 제일 맛있게 드셨어요?
P0 	: 음..
P0 	: 맛없었던게 기억이 안날정도였어요 ㅎㅎ
P0 	: 신기하게 샐러드요
P1 	: 와 대박
P1 	: 저 가고싶은 여행지에 프랑스도 추가할게요 ㅋㅋ
P1 	: 샐러드ㅠㅠ 저 샐러드 좋아해요!
P0 	: ㅎㅎ
P0 	: 샐러드 좋아하시다니!!
P0 	: 또 가보셨던 여행지 있으세요?
P1 	: 루브르박물관도 다녀오셨겠어요!
P1 	: 저는 해외는 코타키나발루밖에 못가봤어요ㅠ
P0 	: 놀랍게도 안갔어요...
P0 	: ㅋㅋㅋㅋ유명한곳을 안좋아해서 별미련이 없었어요
P1 	: 앗 그렇군요!!
P0 	: 에펠탑은 생각보다
P0 	: 별게 없었지만 그냥 거리가 다 이뻤어요
P0 	: ㅎㅎ
P1 	: 맞아요 다들 에펠탑은 별 감흥이 없었다고 하더라궁ㅎ
P1 	: 그요
P0 	: ㅎㅎ네네
P0 	: 그냥 철...
