# FILE DATA
ID : MDRW2100028548
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 나는 우투 정통파 투수들을 너무 좋아하는듯
P0 	: 어우
P1 	: 마치 좌투를 좋아하지 않는 것처럼
P0 	: 엘지 투수 안 좋아할 수 있나?
P0 	: 없습니다
P0 	: 그래
P1 	: 아무래도 그런 편이죠
P1 	: 투 수 좋 아
P0 	: 정우영 진짜 길죽하다
P0 	: 아니 병살짱
P1 	: 정우영 넘 잘해
P1 	: 천재 투수야
P0 	: 그니까
P0 	: 종신엘지해
P1 	: 진심 신인왕 홀드왕 다 따고 종신엘지 해라
P0 	: 이형종 머리 기른 거 아직도 어색해
P1 	: 난 첨 봤을 때 머리 길었어서
P1 	: 긴 게 더 익숙한데
P1 	: 그리고 뭣보다
P1 	: 머리 길 때 야구를 잘했어.
P0 	: 아
P0 	: 뭐냐 왤케 잘하냐
P1 	: 이형종 첨 봤을 때 완전 충격이었는데...
P1 	: 긴머리 휘날리며 어쩌고
P0 	: 그때도 수염이 있었나요
P1 	: 없었죠
P1 	: 그게 아주 중요했지
P0 	: ㅋㅋ
P1 	: 수염 있었으면 걍 뭐야 저 덥수룩한 아저씨는 이거였지
P0 	: 어우 저걸 잡네
P1 	: 머리만 길어서 헐... 간지다 했던 거지....
P1 	: 형종아...
P0 	: ㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 지금은 걍 야구 잘하는 덥수룩한 아저씨
P1 	: 에휴
P1 	: 야구라도 잘하는 게 어디냐
P1 	: 근데 솔직히 이형종은 서사가 진짜 눈물남
P1 	: 걍 엘빠들 아픈 손가락
