# FILE DATA
ID : MDRW2100041311
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 ㅋㅋ
P1 	: 엄마가 외가에 다녀오셔서
P1 	: 오랜만에 외할머니 반찬 먹었네용
P0 	: 와 외할머니 반찬이라니 맛있었겠네요{emoji:♡}-{emoji:♡}
P1 	: 네! 너무...ㅠ 저희 외할머니 요리 엄청 잘 하셔서요
P1 	: 넘 좋았어요 ㅋㅋㅋ
P0 	: ㅜㅜ 집밥짱입니다  할머님손맛이라면 더더욱 좋으셨을거같아요ㅋㅋㅋ 요리엄청잘하신다니ㅜㅜ와
P1 	: 염치없이 잔뜻 받아왔어요 ㅋㅋㅋ
P1 	: 할머니의 몇십년 내공 담긴 손맛은 못 따라오는 것 같아요
P0 	: 내공은 무시할수없지요..ㅋㅋㅋ!!  정말 좋았을거같아여ㅋㅋㅋ밥두공기 때리셨어야죠!
P1 	: ㅋㅋㅋㅋㅋ그러고 싶었는데 점심도 많이 먹어서...
P1 	: 아직까지 배가 부른 것 같아요
P1 	: 작년 김장김치가 똑 떨어져서 배추김치 새로 받아왓거든요
P1 	: 진짜 오랜만에 돼지고기 김치찌개 먹었더니
P1 	: 넘 맛있더라구요...
P0 	: 으아 ㅜㅜ최고의메뉴네요ㅋㅋㄱ으아 김치{emoji:♡}{emoji:♡}{emoji:♡}{emoji:♡}  돼지고기김치찌개ㅜㅜ
P1 	: 돼지고기 김치찌개 완전 한국인의 소울푸드 아닐까요?
P1 	: 혹시 김치찌개에 당면 넣어 먹는 거 아세요?
P0 	: 네네알아용!
P0 	: 그렇게드시나용?
P1 	: 헉 네 제가 엄청엄천 좋아하는데요
P1 	: 제 다른 친구들은 다 모르더라구요 ㅠ
P1 	: 유명한 줄 알았는데... 아시는 분 만나니 반가워요
P0 	: 악ㅋㄲㄱ
	  사실 그렇게많이 안먹긴한데 알긴알죵ㅋㅋ그렇게하는식당가본거같아용ㅋㅋ
P1 	: 하 얘기하다 보니까 땡기네용... ㅠㅠ
P1 	: 전 그런 의미로 부대찌개도 좋아해요
P0 	: 부대찌개도맛있죠ㅜㅜ..하..
P0 	: 밥땡깁니다..
P0 	: ㅋㅋㅋㅋ
P1 	: 하 야심한 밤에 부찌 이야기 넘 좋네요 ㅋㅋㅋㅋㅋㅋ
