# FILE DATA
ID : MDRW2100029760
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 광주
device : 태블릿/패드
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오늘 기분이 어때?ㅋㅋㅋ
P1 	: 좋아 ㅎㅎ 넌 어때?
P0 	: 나도 좋아!
P0 	: 이상형이 어떻게 돼?
P1 	: 조승우 같은 사람 ㅋㅋㅋㅋ
P1 	: 넌 이상형이 누구야
P0 	: 나는 내가 기댈수있는 듬직한 사람!!
P1 	: 멋있다~ ㅎㅎ
P1 	: 오늘 바빠??
P0 	: 예전에는 외모적으로 이상형인 사람을 원했는데 이제는 정신적으로 내가 기댈수있는 사람이면 될거같아!
P0 	: 음 오늘은 생각보다 여유로운거같아!ㅋㅋㅋ
P1 	: 좋다~ ㅎㅎ 점심 먹었어?
P1 	: 난 이상형이 또 있어
P1 	: 생색 안내는 사람 ㅎㅎ
P0 	: 응응 먹었지,!
P0 	: 맞지 뭔갈 해주고 생색 내면 고맙다가도 그런 마음이 사라져ㅠㅠ
P1 	: 맞아 ㅋㅋㅋㅋㅋ 넌 연애랑 결혼 시기는 언제가 적다와다고 생각해?
P0 	: 음 우선 결혼은 나는 직장을 다니고 내가 어느정도 안정되었다고 생각들었을때?
P0 	: 연애는 내가 너무 힘든 시기만 아니면 언제든지 만날수있다고 생각해!
P0 	: 나 스스로 혼자 있더라도 외롭고 힘들지 않을때ㅋㅋㅋ
P1 	: 맞아 이상적인 시기인거 같아 ㅎㅎ
P0 	: 요즘 연애 근황은 어떄?ㅋㅋㅋ
P1 	: 요새 할일은 많은데 연애할 시간이 없어서 남자친구가 매우 힘들어해
P1 	: 자꾸 만나자고 하는 식으로 말하는데 부담스러운...
P0 	: ㅠㅠㅠㅠ 한쪽이 여유가 없을 때 관계가 많이 힘들어지지
P0 	: 나는 오히려 그 반대의 상황이었는데 만날때마다 최대한 많은 대화를 해보면 좋겟당
P0 	: 본인의 상황을 상대방에게 최대한 이해시키려고 이야기를 많이 하는게 좋을거같아
P0 	: 상대방도 그걸 알고 본인 혼자서 시간을 보낼수있는 무언가를 찾으면 더 좋을거같구!
P1 	: 정말 좋은 조언이야~ ㅎㅎ 고마워 ㅎㅎ
P1 	: 나도 상대방이 혼자만의 시간을 갖았으면 좋겠어!
P1 	: 연애할 때 가장 좋은 점은 뭐가 있을까?
P0 	: 음 뭔가 혼자 하기 힘든 것들을 같이 할 수 있는거지 않을까?
P0 	: 예를 들어 맛집을 간다던가, 여행을 간다던가
P1 	: 그치 그런 장점이 제일 크지 ㅎㅎ
P0 	: 가족이나 친구가 아닌 다른 사람과 나의 일상을 공유한다는 것도 있을거같구!
P1 	: 연애하면서 사회성이 많이 길러지는 거 같아 ㅎㅎ
P1 	: 배려심도 키워야 하고
P1 	: 암튼 여러가지로 내면적 레벨업 되는 기분 ㅋㅋㅋ
P1 	: 근데 아직까진 좋은 점 보단 단점이 커서.. ㅎㅎ
P0 	: 맞아맞아 뭔가 친구들과 잘 지내는것과 이성(연인)과 잘 지내는건 또 다른 느낌이라
P1 	: 맞아~ ㅎㅎ
P0 	: 여러 방면의 눈치와 배려 같은 사회성을 키워야하지..
P1 	: 그니까 정말 그런거 같아 ㅎㅎ
P1 	: 넌 어떤 만남이 좋아??
P1 	: 소개팅? 자만추?
P0 	: 음 나는 사실 둘 다 상관없는거같아ㅋㅋㅋㅋ
P1 	: 글쿠나~ ㅎㅎ
P1 	: 기념일은 보통 언제언제 챙겨?
P0 	: 음... 기본적으로는 100일 단위랑 1년 단위, 생일정도지 않을까??
P0 	: 기념일에 해주고싶은거 있어?ㅋㅋㅋ
P1 	: 기념일에 음....
P1 	: 아직 해주고 싶은게 없는데 그냥 케이크?
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 레터링 케이크 같은거 해주면 좋아하겠다!
P1 	: 맞아 그래도 좋겠다!!
P1 	: 미리 주문해야겠네 ㅎㅎ 100일 전에
P0 	: 마자 보통 레터링 케이크 당일 주문 잘 안되니까 몇일전에 미리 주문해놓는게 좋을거같아ㅋㅋㅋ
P0 	: 곧 100일이야?ㅋㅋ
P1 	: 아직 63일이얌 ㅋㅋㅋㅋ
P1 	: 연애는 정말 돈이 많이 드는 거 같아 ㅋㅋㅋ 이것저것 신경 쓸 것도 많고 ㅠ
P0 	: 아 맞지ㅠㅠㅠ
P0 	: 연애하면 만나면서 입는 옷이랑 먹는 밥, 카페, 기념일에 주는 선물까지 하면
P0 	: 혼자 지낼때보다 몇배로 들어ㅠㅠ 뭐 그만큼 받는게 있긴 하지만
P1 	: 그치 맞아 그런거 같아 정말 ㅠ
P1 	: 안 주고 안 받으면 좋을 거 같기도 해서 나중에 한번 말해보려고 기념일 챙기지 말자고 ㅎㅎ
P0 	: 기념일 챙기지 말자고 하면 그분이 엄청 상처받으실거같은데.....?ㅋㅋㅋ
P0 	: 여러모로 많이 부담되는 연애겠다ㅠㅠ
P1 	: 그러려나ㅠ 쿨했으면 좋겠다...ㅠ
P0 	: 연애에서 그런 나랑 생각이 다른 부분을 맞춰나가는게 참 힘든거같아
P1 	: 그러게 정말 어렵당 ㅠ
P1 	: 처음에 급하게 맘 먹어서 내가 솔직히 넘 빠르다 말한 이후로 좀 천천히 가는 듯했는데
P0 	: 응응
P1 	: 요새 휴가로 안 본 시간이 많으니까 또 갑자기 막 급해진 느낌이야
P1 	: 혼자...
P1 	: 또 말해야 하나;;
P1 	: 좀 급하게 맘 먹지 말고 뭐든 천천히 하자고
P0 	: 요즘 휴가갔다온뒤로 더 바빠져서 더 외로워하시는건가;;
P0 	: 진짜 주변에 친구라도 한명 있었으면 덜했을거같기도 한데ㅠㅠ
P1 	: 맞아 친구를 안 만나는 거 같아;;
P1 	: 친구가 있으면 진짜 좀 덜할 거 같긴 한데...
P0 	: 응응 그런 사람들이 기본적으로 외로워하고 심심해할때 그만큼 시간을 보낼 무언가가 있으면 좋을텐데 아쉽네ㅠㅠ
P1 	: 게임을 원래 했다고 하는데 계속 했으면 좋겠어 ㅋㅋ
