# FILE DATA
ID : MDRW2100027814
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 집에서 어떤 반찬 해드세요?
P1 	: 얼마 전에는 겉절이를 했었어욤
P1 	: 근데 제가 아니라
P1 	: 엄마랑 아빠가 만들었어요 ㅋㅋㅋ!!!
P0 	: 와 맛있겠네요 아버지가 집안일 잘 도와주시나봐요
P1 	: 네! 아버지도 식구니까
P1 	: 도와준다는 개념보단 자기 일이라고 생각하고 계세요!
P0 	: 와 너무 멋지세요 닮고싶은 분이네요
P1 	: ㅎㅎ 감사합니다!!!
P1 	: &name1&님은 자매나 형제 있으신가요?!
P0 	: 넵 제동생은 결혼해서 이번달에 조카 태어나요ㅎ
P1 	: 오오 동생분이 먼저 결혼하셨나요?
P1 	: 여동생이신가요?!
P0 	: 넵넵ㅋㅋ
P1 	: 그럼 더 애착 가시겠어요 ㅋㅋㅋㅋ
P1 	: 여자형제가 낳은 조카가 더 애착이 간다더라고요!
P0 	: 아 그래용?조카 있으세요?
P1 	: 네네
P1 	: 저 조카 3명이나 있어요 ㅋㅋㅋㅋㅋ
P1 	: 맞아요 ㅋㅋㅋ
P1 	: 근데 조카 하나는
P1 	: 미국에 살고있어서
P1 	: 자주 못본답니다ㅠ
P0 	: 와 미국이라니 정말 머네요 조카가 생기면 막 챙겨주고싶어지나요?
P1 	: 네,, 뭐랄까요
P1 	: 동생 같기도 하고
P1 	: 저희 조카들이 착해서 그런 걸수도 있는데
P1 	: 너무 사랑스러워요!
