# FILE DATA
ID : MDRW2100031780
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 샹치 ㅇ0ㅇ
P0 	: 샹치보고 올게오
P1 	: 네 어떤지 썰 풀어주세오
P0 	: 썰풀러 왔씀니다
P1 	: 빨리 오십셔 ㅋㅋㅋㅋ
P1 	: 샹치 다들
P1 	: 양조위 얘기만 해 ㅋㅋㅋ
P0 	: 아잌ㅋㅋㅋㅋㅋ
P0 	: 찐이야
P0 	: 저도 양조위 보러 갔는걸요..
P1 	: 아앗
P1 	: 아앗
P1 	: 나 몰랐는데
P1 	: 양조위가 색계에서
P1 	: ㅇㅅㅇ*
P1 	: 영화 잼씀???
P0 	: 맞아영 색계,,,
P0 	: 전반부 액션은 진짜 좋은데
P0 	: 후반부는 좀 너무 신화적인???
P0 	: 근데 난 좋았음ㅋㅋ
P0 	: 사람들 말로는 포디가 그리 재밌다고
P1 	: 헐
P1 	: 신화적....
P1 	: 액션 쩔었나보다 ㅋㅋㅋㅋㅋ
P0 	: 네넹 액션이...버스씬 이 넘나 좋아서
P1 	: 헐
P1 	: ㄹㅇ 포디각...
P0 	: 계속 보고 또 보고 싶고
P1 	: 재탕 할거야???
P1 	: 와 궁금하다
P0 	: ㅎ ㅏ 지금 넘 고민중ㅋㅋㅋ
P0 	: 님 왜 안봐오
P1 	: 나도 주말에 볼걸 ㅠㅠㅠㅠㅠㅠ
