# FILE DATA
ID : MDRW2100009204
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이제 집안일은 끝나셨나요??
P1 	: 네 설거지 밥 끝이요
P1 	: 다하셨어요?
P0 	: 네 저도 이제 끝내고 애들도 재웠어요
	  요몇일 너무 못자긴 했는지 몸이 너무 피곤하네요 ㅠ
P0 	: 오늘은 조금 일찍 자봐야 겠어요 ㅠㅠ
P1 	: 어머 애들 일찍자서 좋겠어요 ㅎㅎ
P1 	: 네 어서 주무세요 ㅎㅎ
P1 	: 진짜 애들케어에 주부들은 주말도 힘들죠
P1 	: 오늘낮잠 못주무셔서 더 그런가보네요
P0 	: 다음날이 쉬는 날이면 늦게 자는데 평일 학교가는 날은 일찍자야된다고 약속해놨었거든요 ㅋㅋㅋ
P1 	: 오 좋네요 애들도착하고
P0 	: 어깨도 아프고 온몸이 아픈게 ㅠㅠㅋㅋㅋ
P0 	: 스마트 워치 끼고 자면 확실이 저는 깊은 수면은 20분정도 밖에 안되고 자면서 1시간이상은 깨더라구요..
P0 	: 수면시간도 짧은데 숙면까지 못취하니 확실히 피곤해요 ㅠㅠ
P1 	: 맞아요 저도 그래요
P1 	: 언제 쭉잤는지 모르겠어요
P0 	: 어렸을때는 푹 잘잤었는데 ㅠㅠ
P1 	: 애들도 다커서 독립하면 잘잘까요 ㅋㅋ
P1 	: 저도요
P1 	: 결혼후 이래요
P0 	: 애들키우면서 자꾸 깨는 버르하다보니 ㅠㅠㅠㅠ
P0 	: 습관이란게 무섭죠 ㅠㅠ
P1 	: 맞아요
P1 	: 애기들 자주깨니
P1 	: 분유 먹이고 그러다보니
P1 	: 자주깨서 그때부터 버릇이 된건지
P0 	: 네 자다가 깨서 울고..
	  지금도 저흰 아직 같이 자거든요...
	  온몸을 비틀고 차고
P0 	: 몸무림도 얼마나치는지
