# FILE DATA
ID : MDRW2100001611
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20201025
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>연인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 제출하는즁
P0 	: 뭐 먹었오
P0 	: 나 이제
P0 	: 겨수님이 시험 정리 해 준거 영상 올려서
P0 	: 그거 볼려궁
P0 	: {emoji}
P1 	: 우왕..
P1 	: 저녁 다먹구와쒀
P1 	: 간단하게 계란후라이랑 무채에 먹다가
P1 	: 갑자기 만두 먹고싶어져가지구
P1 	: 튀겨서 먹고왔더니 10시가됐넹
P1 	: 우리 애기 과제 끝냈었구만~
P1 	: {emoji}
P1 	: 영상도 잘보고와용~
P1 	: 나두 슬슬 과제를 해볼깡
P0 	: 오빠 과제있어??
P0 	: 언제끝나아아ㅏ앙
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 조금만 하면됑!!
P1 	: 한 30분정도?!!
P1 	: 우리 애기는 영상 얼만큼 남았오
P0 	: 영상 다 봤는뎅!
P0 	: 끝나써
P0 	: {emoji}
P1 	: {share:file}
P1 	: {share:file}
P1 	: 오늘꺼 다보냈당 ㅎ.ㅎ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ거의 두시간 넘게했넹
P1 	: 구니깐!
P0 	: 넘 죠아~~
P1 	: 언제 이렇게 지나갔는지도 모르겠오
P0 	: 마쟈ㅠㅠㅠ
P0 	: 더 애틋해{emoji:❤}️
P1 	: 우리 예쁜 &name1& 목소리 두시간이나 들었다닝
P1 	: 나두 애틋해지구
P1 	: 너무 행복한 시간이었당
P1 	: 히이
P1 	: {emoji}
P0 	: 이따 아침에 봐 자기 너무 사랑하구 좋은꿈 꿔야대
P0 	: {emoji}
P0 	: {emoji}
