# FILE DATA
ID : MDRW2100012074
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 책 좋아하시나요
P1 	: 전 로설만요
P1 	: 무슨책 좋아하세요
P1 	: 카카페에서 매일 한편씩봐요 ㅋㅋ
P0 	: 음 저는 수필이나 육아서 많이 봐요
P1 	: 아 네
P1 	: 전 사실 요새 육아서 봐야하나 싶어요
P1 	: 사춘기 딸을 어찌 키울지 모르겠네요
P1 	: 큰애랑 너무달라요
P1 	: 큰애는 고3이라 터울이 너무지니 다생각도 안나고
P1 	: 육아서 도움 되나요?
P1 	: 딸과 싸우지 않기 요런거 봐야하나 싶어요
P0 	: 어머어머 고3이요? 다 키우셨어요 저는 3살..6살이라.ㅡ육아서가 절실해요
P1 	: 네 다키웠는데 초등딸이 있어서 아직멀었어요 ㅜㅜ
P1 	: 그렇죠 그맘때 알아야 할것도 정보도 많고 그렇죠
P1 	: 저도 그때 좀 봤던거 같아요
P1 	: 이제 전 애들이 크니 제가 좋아하는 로맨스 보네요 ㅋㅋ
P1 	: 저희 딸이 오히려 책수준이 높아요 ㅋㅋ
P0 	: 인문학서 읽고 그럴듯요?^^
P1 	: 맞아요 ㅋㅋ
P1 	: 전 안읽고요
P0 	: 로맨스 소설 보면 설레시나요 ㅎㅎ
P1 	: 네 저 아직 소녀예요 ㅋㅋ
P0 	: 귀여우세요^^ 소설이 감정을 말랑말랑하게 해주죠
P1 	: 네 ㅋㅋ
P1 	: 육아물 봐요 ㅋㅋ
P1 	: 소설에서 귀요미 아가 키우는 ㅋㅋ
P1 	: 수필은 뭐 읽으세요?
P0 	: 산문집? 최근엔 양희은님 책이 좋다던데 아직 못읽었어요..
