# FILE DATA
ID : MDRW2100020016
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 제주
principal_residence : 광주
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전 피스타치오 아몬드봉봉이에요 ㅎㅎ
P0 	: 제 베라픽은
P0 	: 요거트입니다
P0 	: 아 약간 씹는 맛 좋아하시는구나
P0 	: 저도 그 두가지 좋아합니다
P1 	: 요거트!
P1 	: 요거트 좋아하긴 하는데 베라에선 안먹어본것같아요
P0 	: 대부분 그러시더라구요
P0 	: 음  맛은 요맘때보다 더 진한 맛인데
P0 	: 단독으로 먹기보단 입가심으로 고르시는 경우가 많더라구요
P1 	: 저 요맘때 하드중에서 제일 좋아해요
P1 	: 맞야요 입가심용 ㅋㅋㅋㅋ
P0 	: 그럼
P0 	: 뻔한질문
P0 	: 민초 호 불호
P1 	: 불호!
P1 	: 핵불호
P0 	: 저두 불호입니다
P1 	: 다행이네요
P1 	: 조마조마햇다구요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 우리 미세하게 가까워졌습니다
P0 	: 그럼 레샤 호 불호
P1 	: 앗 아작 미세한가여? ㅋㅋㅋㅋㅋ
P1 	: 불호.....ㅎ
P1 	: &name1&님 호죠?
P0 	: 아니요 (단호)
P1 	: 어머나세상에
P0 	: 저 배라 처음이 레샤였거든요
P0 	: 제가 그걸 왜 골랐나
P1 	: 호인줄알고 또 조마조마햇습니다
P0 	: 제 입이 원망스러웠어요ㅋㅋㅋㅇ
P0 	: 이로서 우리 약간 미세하게 더 가까워졌습니다
P1 	: 그럼 하와이안 호 불호
