# FILE DATA
ID : MDRW2100020638
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 김재환 좋아해요!
P1 	: 혹시 누군지 아세요 ?
P0 	: 프듀나오신분 맞죵?
P1 	: 네 맞아요 !!
P1 	: 알아봐주시다니 감격입니다
P0 	: 네버 메보였던 !ㅋㅋ
P1 	: 덕님음요 ??
P1 	: 네네 맞아요 !!!
P0 	: 저는 데이식스 좋아해용
P1 	: 데이식스
P1 	: 저 노래 좋아해요
P0 	: 프듀때 진짜 엄청 났었는데 피디가...ㅠㅠㅠ
P0 	: 흐흐 감사해뇽
P1 	: 맞어요 진짜  .....
P0 	: 노래 진짜 너무 잘해요
P0 	: 그냥 타고난것같아요
P1 	: 너무 안타까워요 다들
P0 	: 김재환 노래부르는거 보면
P0 	: 그런 생각이 들어용
P1 	: 흐헉 ㅠ ㅠ ㅠ ㅠ 제가 다 감사한걸요 ......
P0 	: 아니에옄ㅋㅋㅋ
P1 	: 데이식스도 노래 진짜 잘하던데요 !!
P1 	: 밴든데 뭔가
P1 	: 예전의 밴드들과는 다른 느낌이랄까요
P1 	: 보컬이 진짜 시원한거 같아요
P0 	: ㅎㅎ 제일 좋아하는 멤버가 있긴한데
P0 	: 자꾸 병크를 터트려서
P1 	: 그 한페이지가 될 수 있게 ? 맞나요 그거 되게 좋아했어요
P1 	: 아 이런 ㅠ ㅠ
P0 	: 헐 맞아여ㅋㅋㅋ 감사합니당?ㅋㅋ
P0 	: 휴
P0 	: 발 반쯤 담그고 있어요ㅠㅠ
