# FILE DATA
ID : MDRW2100015191
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 전 풀빵 진짜 좋아하거든요
P1 	: 이제 풀빵 파는곳 찾기 너무 어려워서 아쉬워요ㅜㅜ
P0 	: 그쵸 저희지역도 그래요
P0 	: 풀빵이 최곤데....
P0 	: 붕어빵은 슈붕파세요 팥붕파세요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋ전 슈붕이요!!
P1 	: &name1&님은요?
P0 	: 저도요!!
P0 	: 슈붕이 최고예요
P1 	: ㅋㅋㅋ맞아요 전 팥은 팥알갱이 없는 고운 단팥이 좋은데 붕어빵 팥은 통팥이 꽤 많아서 슈붕파에요~~
P1 	: 슈크림도 달콤하고 맛있고요!
P0 	: 먹고 싶어졌어요
P0 	: 사실 붕어빵보다 잉어빵이 훨씬 맛있는데 아시나요?
P1 	: 헉 진짜요?
P1 	: 사실 잘 몰랐어요!!
P1 	: 어떤점이 다르죠....?!
P0 	: 반죽이 달라요!!
P0 	: 붕어빵은 흐물떵해요
P0 	: 바삭하고 맛있는 놈이 잉어빵이에요
P1 	: 헉 그렇구나!!!
P1 	: 바삭하면 확실히 더 맛있겠어요!!!!!
P1 	: 근데 요즘 잉어빵이 많이 없는것같아요ㅠㅡㅠ
P0 	: 맞아요 아무래도 코로나 때문에 길거리음식이 잘 안 팔리나봐요
P1 	: 그러게용ㅠ길거리음식 먹은지 오래된것 같아요~
P1 	: ㅋㅋㅋ갑자기 옛날에 분식집에서 파는 떡꼬치 먹고싶어졌어요
P0 	: 저도 떡꼬치 완전 좋아해요!!
P0 	: 집 앞에 있는 조그만 분식집 떡꼬치 맛있어서 자주 사먹었었어요
P1 	: ㅋㅋㅋㅋㅋ매콤달달하고 너무 맛있죠!!ㅎ떡꼬치는 그런 분식집에서만 팔아서 요즘은 보기힘드네요ㅠㅠ
P0 	: 맞아요 그런 게 진짜 맛있는건데
P0 	: 아침은 드셨어요?
P1 	: 전 아침은 잘 안먹는편이라서 안먹었어요!
	  근데 요즘은 챙겨먹어야하나 고민중이에요ㅋㅋㄲㅋ뭔가 배고프네요
P0 	: ㅋㅋㅋ저도 원래 안 먹는데 배고파서 시리얼 먹었어요
