# FILE DATA
ID : MDRW2100007396
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 학생이신가요?
P1 	: 졸업한지 꽤 됐어요 ㅋㅋ
P1 	: 학교 생활..
P1 	: 동아리 활동 하셨나요?
P0 	: 네 특별히 활동적인 건 아니지만
P0 	: 교육봉사같은 거 했었어요
P1 	: 와
P1 	: 저도 해보고 싶은 생각은 있었는데
P1 	: 실행까지 못 이어졌네요
P0 	: 저는 좀 활동적인 동아리도 해보고 싶었는데
P0 	: 산악동아리 들어갔는데 술만 마시더라구요ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 산악동아리면
P1 	: 술 엄청 잘 먹을 것 같아요
P1 	: 다들 ㅋㅋㅋ
P0 	: 맞아요 근데 저는 못 마셔서 힘들었어요ㅋㅋㅋ
P0 	: 동아리 하신 거나 해보고 싶으셨던 거 있으세요?
P1 	: 저는 노래부르는 동아리였는데
P1 	: 시초는 민중가요 노래패라 ㅋㅋㅋㅋ
P1 	: 민중가요랑 대중가요 둘 다 했어요 ㅋㅋㅋ
P0 	: 와 되게 멋있다
P0 	: 노래도 잘하시겠네요
P1 	: 그냥 대학교 가면 꼭 노래부르는 동아리에 들어가야겠다!! 생각했어서... ㅋㅋㅋ
P1 	: 교육봉사는 어린 학생들 대상이었어요??
P0 	: 사랑도 명예도 이름도 남김없이 한평생 나가자던 뜨거운 맹세~
P0 	: 어르신들 야학이랑 중고등학생 멘토링요
P1 	: 와 많이 하셨네요
P1 	: 멋지세요
P0 	: 야학봉사하다가 알게된 언니가 멘토링 프로그램 소개해줘서 그것도 하게된거예요ㅎㅎ
