# FILE DATA
ID : MDRW2100008881
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 앗 알겠습니다!
P1 	: 동물 키우시는거 있으세요?
P0 	: 저는 구피를 키웁니닷ㅋㅋ
P0 	: 식물하구ㅎㅎ
P0 	: &name2&님은요?
P1 	: 앗 저도 구피하고 새우 예전에 키웠는데 지금은 아니에요
P0 	: 구피가 새우를 먹었나요?
P1 	: 먹기도 했는데ㅋㅋㅋㅋ
P1 	: 관리가너무힘들기도 하고
P0 	: 아하ㅜ
P1 	: 오래하다보니 지쳐서?ㅋㅋ다분양하고
P1 	: 손털었어요
P0 	: 저는 작은 어항이라 아직 유지하고있어요
P0 	: 물고기 물갈아주는거 은근 번거롭지요
P1 	: 네ㅠㅠ이끼 딱고 똥 치우고
P0 	: ㅋㅋ 똥치우고 222
P1 	: 물한번 갈면 시간이...
P1 	: 와..
P1 	: 스포이드로 뽑아내고
P0 	: 그래도 다른동물보단 손이덜가죠
P1 	: ㅋㅋㅋㅋㅋ 헬
P1 	: 맞아요 물멍도하고
P0 	: ㅋㅋㅋ 헬ㅋㅋㅋㅋ
P1 	: 새우가참 기여웠는데
P1 	: 치.비도키우고
P0 	: 많이 키우셨네요
P1 	: 진짜 키우기 힘들더라구요 쬐깐 한게
P0 	: 치비가먼가요
P1 	: 새우의 아기ㅋ
P0 	: 씨몽키인가요?
P1 	: 아니요~
P1 	: 달라요~ ㅋㅋㅋ
P1 	: 체리새우가 알 품고다니거든요
P0 	: 안키워본티가 팍파나네 나 ㅋㅋㅋ
P0 	: 오오
P0 	: 찾아봐야겠어요
P1 	: 다리밑에서 알을 품고 다니면서 다리로 알을 굴려서
P1 	: 데리고다니다가 한달쯤뒤에 부화하는데 공기그것도?있어야하고
P1 	: 새우는 키우기가 힘들더라구요
