# FILE DATA
ID : MDRW2100031839
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 근데 탈코중인건맞는거같네요!!!
P0 	: 으하하 아니 일단
P0 	: 이런 대화가 가능하다는 것 자체가!!!!!!
P0 	: 너무너무 반갑고!!!!
P1 	: 으앜
P1 	: 저두요!
P0 	: 행복해요!!!!!!!
P0 	: ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: &name2&님 행복하셔야해요
P1 	: ㅎㅎㅎ반갑네요!!
P1 	: 아이고 &name1&님두요
P1 	: 예에~
P1 	: 퓨즈서울은
P0 	: 아 퓨즈서울에서 구매해본 적은 없네요 그러고보니
P0 	: 네내
P1 	: 어떻게아셨어요?!
P0 	: 저는 유튜브를
P1 	: 저는 sns통해서...
P0 	: 많이 보는데
P1 	: 오오
P0 	: 하말넘많
P1 	: 네네
P0 	: 소그노
P0 	: 이런 데서 자주 언급되기도 하고
P1 	: 저 다 구독중이에ㅛ
P0 	: 디폴트인 분들이랑
P0 	: 오예~~~~~
P0 	: 아 여기 이모지가 안보이더라구요ㅠ
P1 	: 예랑가랑보시나요
P1 	: 헐
P0 	: 아 그쵸 구독은 했는데
P1 	: 저계속써왔는데(머쓱
P0 	: 저도 한시간 전에 알았어요~~
P1 	: ㅋㅋ큐ㅠㅠ
