# FILE DATA
ID : MDRW2100040778
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아 그래서 예전에
P0 	: 대학원 진학 전에는
P1 	: 와근데 진짜 너무 멋진일들이 대학원에서일어나고잇군요..
P1 	: 네네
P0 	: 뉴스에서 막... 어느어느 학교 연구팀에서
P1 	: 흐악 그러니깐요
P0 	: 신물질을 발명했습니다!
P0 	: 이러면
P1 	: 크...
P0 	: 와... 드디어 무병장수의 시대가 도래하겠구나
P0 	: 이렇게 생각했는데
P1 	: 왘
P0 	: 막상 제가 대학원생이 되어보니까
P1 	: 엌
P0 	: 아... 그냥 진짜 샤프심만한 발견을 했는데
P0 	: 교수가 인맥이 좀 있나보군
P1 	: 크으
P1 	: 오졌네요
P0 	: 이 생각이 들어요
P1 	: 인맥이었네요역시
P0 	: 그걸
P1 	: 근데교수님이인맥이좋으면역시
P0 	: 언론에
P1 	: 대학원생들에게도좋은거겠죠
P0 	: 제보하는거 자체가
P1 	: 오오
P0 	: 어느정도 인지도가 있다는 거니까...
P0 	: 아마 그런 뉴스 듣고
P1 	: 그춐
P0 	: 컨택하는 학부생들도 많겠죠
P0 	: 그러면 이제
P1 	: 오오
P0 	: 거기서 연구하는 도비들은
P0 	: 후배가 들어와서 좋은거고...
