# FILE DATA
ID : MDRW2100027896
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이제 가을이네요!
P0 	: 가을 좋아하시나요?
P1 	: 네 가을 좋아해요!
P1 	: 시원따숩을 느낄수있는..
P0 	: 저도 좋아해요ㅋㅋㅋㅋ
P0 	: 사실 겨울을 좋아하긴 해요
P0 	: 여름이 제일 싫어요ㅋㅋㅋ
P1 	: 헉 사실 저도 사계절 중에
P1 	: 겨울 젤 좋아해요 춥지만 벌레도 없고
P1 	: 겨울-가을-봄-여름 순일까요
P0 	: 헐 대박 진짜요?? 우왕
P0 	: 동지네요 저두 똑같이 좋아해요
P0 	: 원래는 봄을 더 좋아했는데
P0 	: 미세먼지때매 가을한테 밀렸어요ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 겨울은 부동의 1위!!
P0 	: 벌레없는 거 너무 좋구 눈도 솔직히 좋아해요ㅋㅋㅋ
P1 	: 헐 저도에요ㅋㅋㅋㅋㅋㅋ
P1 	: 봄 따스해서 좋은데ㅜ 미세먼지랑 황사콤보로 아웃...
P1 	: 꽃구경 하는건 좋지만요!
P1 	: 맞아요ㅠㅠ 눈 싫어하는 사람도 있지만... 눈 좋아해요 밟는것두
P0 	: 저도요 뽀득뽀듯 너무 좋아요
P0 	: 겨울 옷 무거운 것만 빼면 정말 다 좋은 거 같아요ㅠㅠ
P0 	: 옷 무게가 은근 상당하단 걸... 근육 다 빠지고 깨달았지 뭐예요..
P1 	: 맞아요ㅜ 특히 아무도 안 밟은 눈을 내가 처음으로 밟을때...!
P1 	: 그쵸 패딩부터...가벼운것도 있지만
P1 	: 겨울은 옷이 두껍다보니 무게가 있죠
P0 	: 마자요 두꺼우니까 여름보다는...
P0 	: 몇년 전까진 예쁜 옷 찾았는데
P0 	: 작년부터 급격히 가벼운 옷 찾는 저 자신을 발견하고 웃었네요ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ예쁜옷 입어도 패딩이 가려주니깐
P1 	: 가볍지만 따뜻한 옷 걸치는것도 좋죠ㅋㅋㅋㅋ
P1 	: 조만간 옷 쇼핑해야겠어요
P0 	: 맞아요 다가올 겨울에 대비해야하니까요ㅋㅋㅋㅋ
P0 	: 저도 그 핑ㄱㅖ로 마음껏 지르는 중입니다ㅋㅋㅋㅋ
P1 	: 겨울오기전에 가을에 예쁜 옷 많이 입어야죠!
P1 	: 가을에 입을 거 고르면 베이지가 눈이 가요
P0 	: 마자요마자요 베이지~ 요즘엔 빈티지한 컬러가 많이 나와서
P0 	: 커피색에 가까운 베이지랑 차분한 네이비가 끌리더라구용
P0 	: 가을옷 예쁜 거 많아요ㅠㅠ
P1 	: 오 가을하면 빈티지죠ㅠㅠ!!
P1 	: 베이지 이즈 뭔들...!
P1 	: 네이비쪽은 잘 안 입지만 예쁠거같아요!!
P1 	: 이번주...인터넷 쇼핑해야겠다
