# FILE DATA
ID : MDRW2100012318
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 뮤지컬 좋아해요?
P1 	: 딱히 자주 보러 다니진 않았어요
P1 	: 학교에서 단체로 가는 정도ㅎㅎ
P1 	: 뮤지컬 좋아하시나요?
P0 	: 전 좋아하는데 한번도 기회가 안되서 못 봤어요 ㅠ
P0 	: 지방 사니 그런 기회가 많지 않더라고요..
P1 	: 그건 그렇겠네요ㅠㅠ
P1 	: 재밌게 본 작품 있으세요?
P0 	: 음 재밌게 본 작품보단...'아이다' 직관하고 싶어요ㅎㅎ
	  딱히 어떤 작품을 본적이 없어서리...ㅋㅋㅋ
P0 	: 콘서트는 가본 적 있으세요??
P1 	: 소규모 콘서트는 몇 번 가봤어요
P1 	: 딱히 아이돌을 좋아해본 적은 없어서 아이돌 콘서트는 한 번도 못 가봤네요
P1 	: 콘서트 가본 적 있으세요?
P0 	: 아니요~저도 아이돌 관심 없었어서 콘서트는 생각도 안 해봤어요.
P0 	: 근데 요즘은 BTS에 빠져서 한번 가보고 싶긴 해요ㅋㅋㅋ
P1 	: 방탄 노래도 퍼포먼스도 너무 좋죠!
P1 	: 근데 티켓팅이 너무 힘들 거 같아요
P1 	: 너무 인기가 많아서ㅋㅋㅋ
P0 	: 그니까요ㅎㅎ
	  그냥 생각만 하고 있어요ㅋㅋ
P0 	: 일단 코로나가 진정이 되어야 뭐라도..
P1 	: 맞아요ㅠㅠ
P1 	: 영화관도 가기가 망설여져요
P0 	: 저도 영화관 가본지가 언젠지..ㅎㅎ
P1 	: 요즘 영화보면서 팝콘도 못 먹는다던데..ㅠ
P1 	: 코로나가 빨리 끝났으면 좋겠어요
P0 	: 흐어..팝콘 없으면 입 심심해서 어찌 영화보나요
