# FILE DATA
ID : MDRW2100041315
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 지금 찾아보는데 넘 재밌어보여요!!
P1 	: ㅎㅎ 그런가요? 저도 기회가 되면 또 보고 싶어요
P1 	: &name1&님은 그럼 그냥 기억에 남는 영화는 뭐가 있어요?
P0 	: 음
P0 	: 피아니스트의 전설이라는 영화 아시나요?
P0 	: 제가 정말 좋아해서 여러번 본 영화입니다ㅠㅠㅜ
P1 	: 헉 처음 들어봤는데 바바님이 그렇게 말씀하시니까 저도 꼭 볼게요
P1 	: 어떤점이 좋았어요?
P0 	: 천재 피아니스트 주인공이 갖는, 변화에 대한 두려움같은 감정을
P0 	: 너무 잘 표현했어요
P0 	: 중간중간나오는 음악들도
P0 	: 너무 멋지고요ㅠㅠㅠㅠ
P0 	: 음악감독이 안니오 마리꼬네인데 노래가 다 좋아요ㅠ!!!
P1 	: 진짜 좋아하시나봐요 말씀하시는데 애정이 묻어나요
P0 	: 넵ㅎㅎㅎ
P0 	: 완전 추천드려요!!
P1 	: 으아 넷플에 없어요ㅠ
P1 	: 다음에 기회되면 꼭 볼게요!ㅋㅋㅋ
P0 	: 넵ㅎㅎ!!!!
P0 	: 음 추천해드릴 영화가 더 있을 것 같은데
P0 	: 기억이 안나요....ㅋㅋㅋㅋㅋ
P0 	: 인생은 아름다워라는 영화는 아시나요~??
P1 	: 들어는 봤는데 보진 못했어요!
P0 	: 오 이것도 넷플에 없을까요ㅠ??
P0 	: 완전 명작입니다bbb
P1 	: 헐 있엉ㅅ!!!
P1 	: 있어요!!
P1 	: 내일 보겠습니다
P1 	: ㅎㅎㅎ
P1 	: 추천감사해용
P0 	: 아ㅎㅎㅎ넵!!!!!
P0 	: 이건 스포가 될까봐 말을 못하겠어요ㅋㅋㅋ
