# FILE DATA
ID : MDRW2100032786
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 클립으로라도 좀 풀어봐,,,,
P0 	: 잘생긴 재현이 사랑에 빠진 모습 내놔...
P0 	: 나를 보며(?) 부끄러워하는 모습 내놔...
P1 	: 아 너무웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그거보며 망상 {censored}번 해야하는데,,
P1 	: 상상으로라도 재밌잖아요,,
P0 	: 움짤로 쪄서 지플립에 무한재생 시켜야한다고여
P0 	: 아놔아아
P1 	: 아 너무억웇해요ㅠㅠ다시 생각해보니...
P1 	: 애는 뭔 날벼락이냐며,,,,
P0 	: 그니까여 진짜 애는 죄가 없는데
P1 	: 똥을 아주..ㅎ
P0 	: 잘생긴 죄.. 내 마음을 들었다가 놓은 죄.. 너무나도 많이 사랑한 죄..
P1 	: 그냥 잘생기지라도 말던가
P1 	: (?)
P0 	: 근데 잘생겼는데 본업도 잘하면 좀...
P0 	: 좀 유죄 아닌가여
P1 	: 생일도 2월14일 발렌타인데이인게 너무발려요..
P1 	: 진짜 유죄죠
P0 	: 잘생겼으면 얼굴값을 해야지... 떼잉
P1 	: 좀...오점이 있어야 하는데..
P0 	: 쯧쯧쯧 라떼는 비주얼은 비주얼만 하는 거였는데...
P1 	: 어케...없나..?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 개웃겨요 ㅠㅋㅋㅋㅋㅋㅋ
P0 	: 저라는 오점... 안되나?
P1 	: 재혀니 관심 있으시면...
P1 	: paris in the rain 커버한거..
P1 	: 저 비둘기 날립니다..
P1 	: 극락이실거예요,,
P0 	: 와우 정말 틈새영업 역시 시즈니시네여
P0 	: 근데 접수합니다 ㅇㅋ 감사해여
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 이건... 저건 진짜..
