# FILE DATA
ID : MDRW2100041615
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경북
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 이제 돌아옴 ㅋㅋ 점심 유부초밥 싸갔었어!
P1 	: 삼계탕 맛있었겠다 삼계탕 먹은지 오래됐네
P0 	: 도시락ㅎ좋았겠다
P0 	: 삼계탕 잘 만드셨더라
	  맛있었오ㅎ
P1 	: 유부초밥 맛 없드라 유부초밥패키지? 그게 별로였나봐
P1 	: 엄마가 씨제이 샀다했는데
P0 	: 오랜만에 나들이 였는데 아쉽
P0 	: 기억했다 담에 안사야겠다
P1 	: ㅇ거기랑 동원꺼 맛없음
P1 	: 송정가서 문토스트도 먹었다
P0 	: 문토스트 안먹어봄
P0 	: 어떤거길래?
P0 	: 오~~
P1 	: 유튜브에 치면 바로 나와! 내가 설명한거보다 더 이해편할거야
P1 	: 내가 먹어본거에는 걍 계란이랑 소스 치즈듬뿍
P1 	: 이런느낌
P0 	: 응 보고 오~~한거ㅋ
P0 	: 맛있겠더라ㅎ
P1 	: ㅇㅇ 맛 괜찮았어 한번 먹어보는거 괜찮을듯해
P1 	: 근데 난 같은가격이면 다른 재료 많이 들어가는 이삭이 나은듯
P0 	: 이삭 좋다
P0 	: 나 예전에 이삭 대표님 유퀴즈 나온거보고는 이미지 좋아졌어
P1 	: ㅇㅇ 이삭은 여러가지가 많이드가는 느낌이고
P1 	: 문토스트는 치즈랑 계란이 많이들어가는느낌
P1 	: ㅇㅇ 나도 유퀴즈서봤당
P0 	: 응 이삭 좋아졌는데 근거리 이삭이 없어ㅜㅜㅋ
P1 	: 난 소계동에 있는데 귀찮....
P1 	: 낼 백신 맞으러 갖다오면서 살까 싶기도해
P1 	: 이삭토스트
