# FILE DATA
ID : MDRW2100040766
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 헐 저근데 사실
P1 	: 저희언니랑 같이살았을때가있었는데
P0 	: 네네
P1 	: 뉴욕에서 잠시같이살았거든요 친언니랑
P1 	: 근데 언니가 엄청 아팠던기억이...
P1 	: 딱 한국오기한달전부터?
P0 	: 헉....?!
P1 	: 감기심하게걸려서제가 막
P0 	: 언니분 지금은 괜찮으세요?
P1 	: 죽도주고
P1 	: 네네네
P1 	: 건강맨이에요
P0 	: 언니랑 같이 미국에 가신거구나 ㅇㅇㅇ
P0 	: 네네네
P0 	: 헉?!
P1 	: 막챙겨주고했었는데
P0 	: 자연...치유?!
P1 	: 언니가 감기증세사라지고나서도
P0 	: 근데 미국은 진짜 마스크 안쓰고 다니고 그랬나요?
P1 	: 언니가 개코에 미식가거든요
P0 	: 네네
P0 	: 한국분들은 쓰셨을거같은데
P1 	: 근데 후각이랑미각을잃어버린거에요
P0 	: 할....?!
P0 	: 아니 세상에!?!?!?!
P1 	: 네네 작년4월에는없었어요마스크쓰는사람이
P1 	: 아뮤튼그러다가 코로나심각해져서같이한국와서
P1 	: 언니가 뭔가 쎄해서 바로 검사를받았어요 저랑같이
P1 	: 근데 다음날아침에 언니한테 9시에바로전화오고
P1 	: 언니 확진이라면서
P0 	: 네네네 8ㅅ8
P0 	: 네?!?!?
P1 	: 냅다 응급차타고갔답니다
P0 	: 와
P1 	: 근데저는음성이었어요
