# FILE DATA
ID : MDRW2100030043
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오늘도 운동 가냐
P0 	: 요즘 피곤해서 운동안한지  3주됐음
P0 	: 1주에 1키로씩  불고있어
P1 	: 와우 꽤 오래 쉬었네?
P1 	: 다이어트 관둠?
P0 	: 아니 다이어트하는데 생리전증후군~ 생리까지 2주쉬고
P0 	: 그후에는 너무피곤하고 운동하기싫어서 1주쉼
P0 	: 담주부터 다시  다이어트해야지
P0 	: 걷기도하고
P0 	: 자전거 안장이 너무 안맞는것같아서 바꾸려고
P1 	: 와 나도 생리전증후군 때문이었는지 두통오고 소화안되서 며칠 아픔
P1 	: 그러고 지금 생리 왕 터져서 기운이없다
P1 	: 자전거안장? 왜
P0 	: 나도 요즘  음식이 안맞아서   장염왔어
P1 	: 작아?
P1 	: 오우 장염 조심하삼
P0 	: 노놉!  작은것도 그렇고..모양이 내엉덩이하고 안맞는것같음
P0 	: 불편해서 오래못타겠어
P0 	: 30대되니까 확실히 여기저기  잘아픈것같음
P1 	: 아하 그런거군 자전거 진짜 잘탄다
P1 	: 몸이 고장난거같음
P1 	: 30대도니깐
P0 	: 나쁜말 그만해
P1 	: ㅋㅋㅋ전 고운말을 써요
P1 	: 요즘 어떤 패션에 관심이 있냐
P0 	: 옷에 노관심이야.  출퇴근만하니까
P0 	: 거리두기때문에 외출도 안하니까 더더욱
P0 	: 츄리닝패션???
P1 	: 역시 그렇군
P1 	: 나는 역시 와이드팬츠요
P1 	: 크록스와 슬리퍼
P0 	: 나 그때 리리앤코에서 산 바지 잘입고다님
P0 	: 주제는  랜덤으로 정해지나?
P1 	: 아 그 바지ㅋㅋㅋ편해보이던거
P1 	: 하늘색이던가
P0 	: 검은색도있어. 엄청 넓은거
P0 	: 다른바지인데 통도 넓고. 고무줄이고 좋아
P0 	: 너 백신 2차 맞았지?
P1 	: 그래 그런스타일이 편해
P1 	: 어ㅋㅋ다 맞았엉
