# FILE DATA
ID : MDRW2100036318
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋ맞아요 카드에 너무 위험해요
P1 	: 근데 진짜 막 보다보면 필요란 거 같고.??
P1 	: 글구 이벤트 이런것도 엄청 알려주잖아요 ㅋㅋㅋ
P1 	: 네이버포인트나...
P0 	: 맞아요 저희는 현명한소비를 하고잏는거죠
P0 	: 맞아요!!!!
P1 	: 저 진짜 거기 덕분에 네페 엄청 쌓은 것 같아요
P0 	: 포인트로구매하면2배행복{emoji:♡}
P0 	: ㄱㅋㅋㅋㅋ
P1 	: 찜하기랑 ㅋㅋ 클릳하기
P1 	: 마자요 마자요
P0 	: 아근데그거너무빨리끝나서
P1 	: 내가.. 쌓은 돈인데 ㅋㅋㅋㅋ 공짜로 산 것 같고 막
P0 	: 놓치면슬퍼요ㅜㅜ
P1 	: 그쳐 ㅋㅋㅋㅋ 특히 가끔
P0 	: 맞아요제가고생한건데ㄱㅋㅋㅋ
P1 	: 320원 짜리 이런거
P1 	: 글구 꼭 특가 딜 이런거 아니더라도 그냥 후기 이런거 보면 땡겨요
P0 	: 맞아요 근데 다 솔직하게 후기 써주시는편이라 참고가많이되더라구요
P0 	: 댓글도많이달리구
P1 	: 맞아요 ㅋㅋㅋ 저두 후기보면 꼭 댓글 달려고 노력해요 ㅋㅋ 그래야 또 많이 올릴 것 같아서...
P1 	: 그리고 또 영업당해서 사기...
P1 	: 저 그래서 더샘 트루핏 쿠션 샀잖아요
P0 	: 그거 괜찮았어요?!   아직 쿠션은 인생템 못찾앗어요ㅜㅜ...
P1 	: 엄청 좋진 않았어요 그냥 싼맛에 가볍게 쓰기 좋은??
P1 	: 역시 화장품 진리의 사바사인지...
P1 	: 모공이 있는 편인데 커버가 잘 안 되더라구요 ㅋㅋㅋ 유트루는 잘 하던데ㅠ
P0 	: 아역시사바사인가ㅜㅜ
	  에뛰드 그 파운데이션? 그것도좋다해서사봤는데 그냥그랬거든요..
P1 	: 그쳐!!!!
P1 	: 저두요 파데 유랑민이에요ㅜㅜ
P1 	: 아직.엄청 좋다 하는 파데를 못 찾았어요 ㅋㅋㅋ
P0 	: 페리페라 저렴한 파데있었는데 묽어서 좀 쓸만했거든요! 저는 빡빡한건안맞는거같아서..ㅋㅋㅋ
	  근데 코로나터지고화장할일없으니 날짜가많이지나서 쓸수없게됐네요...ㅋㅋㅋ
