# FILE DATA
ID : MDRW2100040522
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 기타

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 그냥 집밥먹었어요!
P1 	: 뭐 드셨나요??
P0 	: 삼겹살구워먹었습니다!
P1 	: 와 맛있었겠아요
P1 	: 삼겹살은 뭐에드셔시나요?
P1 	: 전 깻잎이나 쌈무를 좋아해요 ㅎㅎ
P0 	: 상추에 싸먹었습니다!
P0 	: 저도 좋아해요 ㅜㅜ
P0 	: 단지 없었을뿐...
P1 	: 앗 그러시군요
P1 	: 저도 상추도 좋아해요 ㅎㅎ
P1 	: 아침드셨나요?
P0 	: 아니요 ㅋㅋㅋ 아직누워있습니다 ㅋㅋㅋ 점심을 좀 이르게먹으려구요 ㅋㅋ
P1 	: 그러시군요
P1 	: 뭐 드실계획이신가요?
P1 	: 전 아침으로 유부초밥을 먹었답니다 ㅎㅎ
P0 	: 저에게 선택권이 없어서 주는대로먹습니다 ㅋㅋㅋㅋ유부초밥맛있겠네요 ㅜㅜ
P1 	: 그렇군요 ㅋㅋㅋ
P1 	: 네 맛있었어요 오랜만어. 먹으니 좋더라구요
P1 	: ㅎㅎ
P1 	: 토스트두너무 맛있죠 전 이삭토스트처럼 안에 풍족한걸 좋아해요
P0 	: 헐 이삭 ㅜㅜ 저희동네네 없어져서 아쉬운데 ㅜㅜ 그맛내기어려워요 ㅜㅜ
P1 	: 헉 너무 아쉽네요 ㅠ
P1 	: 이삭만의 맛이 있잖아요
P1 	: 진짜 맛있고 저렴해서 좋아요!!
P0 	: 진짜요 ㅜㅜ 너무아쉽습니다 섭웨라도 있으면좋을텐데 섭웨도없네요...
P1 	: 앗 섭웨정말좋아해요 ㅠㅠㅠ
P1 	: 아쉽네요
P1 	: 저 사는곳에도 없어요...
P1 	: 갑자기먹고싶네요
P1 	: 전 항상 올리브랑 야채추가 많이해요
P1 	: 어떻게드시나요?
P0 	: 저도올리브 많이요!!! 빵은 늘 위트로 먹습니다 ㅋㅋㅋㅋ
P1 	: ㅎㅎㅎ 저는 플랫브레드요!!
P1 	: 쫄깃한게 너무 맛있어요 ㅎㅎ
P1 	: 쿠키도 좋아하시나요?
