# FILE DATA
ID : MDRW2100034778
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저녁 드셨나요?
P1 	: 네 먹었어요
P1 	: 저녁드셨나요?
P0 	: 네! 피자를 먹었답니다
P0 	: 뭐드셨어요?
P1 	: 부대찌개 해먹었어요
P1 	: 피자 드셨구나! 어디꺼 드셨나요?
P0 	: 크으 부대찌개 맛있으셨겠어요
P0 	: 시장 수제 피자 먹었어요!
P1 	: 우와 시장에서 피자도 파는군요 토핑이 많이 올라가있을거 같아요
P0 	: 맞아요! 치즈가 완전 듬뿍이예요
P0 	: 수제의 장점이랄까요?!
P1 	: 맛있겠어요ㅠㅠ 무슨 피자예요? 불고기? 포테이토?
P0 	: 불고기요!!
P0 	: 고기는 사랑이죠{emoji:♡}
P1 	: 맛있었겠어요
P1 	: 고기는 언제나 옳죠
P1 	: 닭 , 오리 , 돼지, 소 어떤고기가 좋으세요?
P0 	: 저는 돼지요!!
P0 	: &name2&님은요??
P1 	: 저는 오리요!
P1 	: 돼지는 어떻게 드시는거 좋아하세요?
P0 	: 간장양념갈비 좋아해요~~
P0 	: &name2&님은요?
P1 	: 헉 너무 맛있죠 양념갈비
P1 	: 저는 오리소금구이요
P0 	: 아 소금구이
P0 	: 그냥 먹어도 맛있는데 소금이라니요 최고네요
