# FILE DATA
ID : MDRW2100027453
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 오ㅓ 왜
P1 	: 왜 그래
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 꼭결정해야됨
P1 	: 야 어렵다
P1 	: 넌 뭐할거임?
P0 	: 아
P0 	: 음
P0 	: 복숭아
P1 	: 오
P0 	: 너는
P1 	: 왜
P0 	: ?
P0 	: 아
P0 	: 복숭아랑
P0 	: 귤이제일좋은데
P0 	: 그냥하나
P0 	: 뎔정함
P1 	: 오 ㅏ아아
P0 	: ㅋㅋㅋㅋㅋㅋㅋ그냥하나골라
P1 	: 나는 샤인머스토로베리
P0 	: 아
P0 	: 그건뭐임
P0 	: 섞은거아님?
P1 	: 못고르겠음
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅇㅇㅇㅇㅇㅇ
P0 	: 아
P0 	: ㅇㅋㅇㅋ
P0 	: 새로운
P0 	: 과일인줄
P0 	: ㅋㅋㅋㅋㅋ자연스러워서
P1 	: ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ
P0 	: 샤인머스켓?
P0 	: 그거맛있음?
