# FILE DATA
ID : MDRW2100008524
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 허헙
P1 	: 깔면되나요
P1 	: 쓰읍 이렇게 영업을
P0 	: ㅋㅋㅋ 같이해요! 담주부터 고고
P0 	: 처음엔 1분 30초 달려요 쉬워요
P0 	: 같이 건강해지자구요!?
P1 	: 달E기냐구요
P1 	: 넘 건강래
P1 	: 건강해
P1 	: 조아요...나도...나도 건강해지겠어요
P0 	: 좋아요~~
P1 	: 워치에서 혹시 단독으로 되나유
P1 	: 달리기 말고 따로 했던 운동 있으신가요
P0 	: 그건 잘 모르겠네요..!
P0 	: 달리기말고 요가 잠깐했는데 꾸준히 못했어요
P1 	: 오오 활달한게 잘 맞으시나보군요
P1 	: E형이신가요
P0 	: 저 I예요 완전 소심
P0 	: 근데 운동에 관심이 많아요 ㅋㅋㅋ
P1 	: 아악 궁예가 틀리다닠ㅋㅋㅋㅋ
P1 	: 아주 좋네요
P1 	: 그런걸 갓생이라고 한대요
P1 	: 얼마전에 배웠답니다
P1 	: 갓생갓생
P0 	: ㅋㅋㅋㅋㅋ 원래 집에만 박혀있었는데
P0 	: 이래서 주위 사람들이 중요한가봐요
P0 	: 마침 런데이 하는 언니가 있어서 쉽게 시작할 수 있었어요
P1 	: 그 언니 놓치지 말아요(?0
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 &name1&님 덕분에 시작할 것 같아요
P1 	: 8주가 되니까..30분을..뛸 수 있다라..
P0 	: 진짜 엄청나죠??
P1 	: 네네
P1 	: 영업제대롭니다
