# FILE DATA
ID : MDRW2100039108
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 배고파 ㅋㅋㅋㅋ
P0 	: 나도
P0 	: 뭐먹지
P1 	: 마라탕 고고고
P1 	: 못먹어서어째ㅠㅠㅠ
P1 	: 나만행복한하루엿구만
P1 	: 먹고자고 ㅋㅋㅋㅋ
P1 	: 히히다햇당
P1 	: ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ아냐 나도 행복하게 재밌게 놀다왔슈ㅋㅋㅋ
P0 	: 나 이제 동생 데리러 도착함ㅋㅋㅋ멀미날까봐 참는 즁이야 ㅋㅋㅋㅋ 집가서 연락하께!!!!!!
P1 	: ㅇㅋㅇㅋ
P1 	: 저녁을 먹어야지!!
P0 	: ㅋㅋㅋ뭐먹을꼬얌
P1 	: 너말이염
P1 	: ㅋㅋㅋㅋㅋ난 카레데웟응
P0 	: ㅋㅋㅋ오 오늘 저녁은 카레군용!!!
P1 	: 웅 ㅋㅋ어제 사모가 남은거 먹고싶은거 가져가라해서
P1 	: 카레가져옴 ㅋㅋㅋ
P0 	: 오 카레 좋아함?!!!
P1 	: 나는 짜장밥보단 카레가조항!!!
P0 	: 울아빠 카레 전문가여!담에 놀러오면 카레 해달라할겡ㅋㅋㅋㅋ
P1 	: 아니유ㅜㅜㅜ왜그래유ㅠㅠ
P1 	: 카레가루는.뭘쓰시나? ㅋㅋㅋ
P0 	: ㅋㅋㅋ오뚜기카레 고형카레 약간매운맛으로!ㅋㅋㅋ 고형카레가 좋대 우리집은
P1 	: 오 ㅋㅋㅋㅋ 골든카레인가
P1 	: 그일본거 ㅋㅋㅋ 고형카레만 한번먹어봄
P0 	: 찾아보니 고형 백세카레다!!ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ난 가루나 차이 모르겠던뎅 엄빤 그렇다네ㅋㅋㅋㅋ
P1 	: 뭔가다르겟지??
P1 	: 그일본껏도 유명해서 사람들 일본가면 많이사오던데
P1 	: 옛날에 ㅋㅋㅋ
P1 	: 아 신과함께 보는데 김정민나왓는데 게무침먹는데
P1 	: 아.맛잇겟다ㅠㅠㅠ
