# FILE DATA
ID : MDRW2100043880
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 좋아하는 음료는 있으신가용?
P1 	: 거의 다 좋아하는데
P1 	: 커피랑 차를 많이마셔요!
P0 	: 그럼 어떤 브랜드 가장좋아하시나요?
P1 	: 프랜차이즈요?
P0 	: 넴넴
P1 	: 생활권에 있어서 스타벅스 많이갔었는데
P1 	: 이래저래 이슈ㅎㅎ가 많아서
P1 	: 최근엔 그냥 직접 드립해서먹거나 하고있어요!
P0 	: 아하 원두 사다가 갈아서 드세요?!
P1 	: 할리스 좋아하긴하는데 주변에 없네요ㅜㅜ
P1 	: 네맞아요!
P0 	: 할리스는 정말 잘없죠 ㅠ
P0 	: 주로 어디서 원두 사세요?
P1 	: 정착못하고 여기저기서 사보는중이에요ㅜㅜ
P1 	: 노브랜드에서도 사보고 개인판매자것도 사보고
P1 	: 커피 좋아하세요?
P0 	: 네 ㅎㅎ 좋아하죠!
P0 	: 저는 모카포트 사서 하는중인데
P0 	: 항상 원가 모카포트에하면 맛이달라서 ㅠ
P0 	: 슬퍼요
P1 	: 하ㅏㅏ진짜
P1 	: 모카포트너무힘들어요
P1 	: 세척도힘들고
P1 	: 저도몇번써봤는데 진짜 맛맞추기도 어렵고ㅜㅜ
P0 	: 아... 그건그래요 ㅠ
P0 	: 세척은 그렇다해요
P0 	: 맛맞추기가 넘 어려워요 ㅠ
P0 	: 해요->해도
P1 	: 저는 홀빈써서그런지 그라인더부터 잘못된거같긴한데
