# FILE DATA
ID : MDRW2100002269
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 월급은 하이패스아닌가요ㅎㅎㅎ
P1 	: 중간에 막 끊으셔도 돼요
P0 	: 이거 중복된건데ㅎㅎ 그래도 듣고싶어서ㅎㅎ
P1 	: 아하
P1 	: 뭐가 듣고 싶으세요?!
P0 	: 연애 근황이 어떻게되세요?
P0 	: 최근에 소개팅이나 미팅은 없으세요?
P1 	: 일단 지금은 싱글이고
P1 	: 소개팅은 거부중이고
P1 	: 미팅은 대학교때 이후로는 없었네요
P0 	: 아 왜 소개팅은 거부중이에요?
P1 	: 추억의 미팅ㅋㅋㅋㅋㅋㅋ
P1 	: 어우 연애 지겨워서요
P0 	: ㅎㅎㅎㅎㅎㅎㅎㅎ
P1 	: 지금이 너무 좋아요 딱 좋아
P0 	: 혼자가 좋군요ㅎ
P0 	: 저도 그래요ㅎ 혼자가 좋을때가 있어요ㅎ
P1 	: 네! 전연애가 너무 힘들었어요
P1 	: 잠시 휴식이 필요해요
P0 	: 아무도 터치안하고 아무도 간섭안하는 나만의 시간
P1 	: 맞아요!
P1 	: 혼자 있는 시간이 너무 소중해
P0 	: 연해할때 어떤 스타일이시길래 힘드세요?
P1 	: 아 연애스타일때문은 아니고
P0 	: 이상형 만나시면 좋잖아요ㅎ
P1 	: 엑스랑 헤어지는 과정이 좀 힘들었어요
P0 	: 아ㅎㅎ
P1 	: 오래 만난 사람이었고 만날 때 행복했는데
P0 	: 글죠...
P1 	: 헤어질 때 보인 모습때문에 진짜 와장창
P0 	: 저도 그마음 충분히 이해하네요
P1 	: 좋은 기억 다 사라졌어요
P0 	: 에고 알죠
P0 	: 몇년사귀셨는어요?
P0 	: 오타죄송요ㅠ
P1 	: 7년이요!
P0 	: 우왐ㅎ 전1년더해서 8년ㅎㅎ
P0 	: 길게 사귀시구나ㅎㅎ
P1 	: 와 8년 연애하고 결혼하신 거예요?
P0 	: 힘들죠 많이... 지금은 혼자가 좋을 시기네요ㅎ
P0 	: 아뇨ㅎㅎㅎㅎ 엑스ㅎㅎㅎㅎ
P1 	: 오래 만나고 결혼하는 커플들 대단하다고 생각했는데..
P1 	: 아하?
P1 	: 어머나 잠깐만
P0 	: ㅎㅎㅎ
P1 	: 그럼 8년 엑스랑 헤어지고
P1 	: 지금 아내분이랑 빠르게 결혼하신 거예요?
P0 	: 헤어지고 나서 1~2년 방황하다가 만난거에요ㅎ
P1 	: 아니 뭔가 드라마같은데...?
P0 	: 그 1~2년 사이에 모임을했었고
P1 	: 오호
P1 	: 여행동호회?
P0 	: 하면서 친해져서 결혼한것같애요ㅎ
P1 	: 오오오
P1 	: 진짜 사람일은 모른다 그쵸
P0 	: 자연스러운게 좋아서
P0 	: 누가 소개해주고 그런건 별로 안좋아해요
P1 	: 저도요!
P1 	: 자만추!!
P0 	: 같이 놀면서 자연스럽게 어울렸던것 같애요ㅎ
P0 	: 맞아요ㅎ
P1 	: 친구에서 연인으로!
P0 	: 많이힘들었어요 정말ㅎ
P1 	: 아니 근데 &name1&&name1&
P1 	: 왜 헤어졌어요?
P0 	: 네네ㅎ
P0 	: 아..
P0 	: 그게 전 여친한테 신뢰가 안갔었어요ㅎ
P1 	: 아 대답 거부권 있어요
P0 	: 아니요ㅎㅎ
P0 	: 다말해드릴수있어요ㅎ 어짜피 지나간일이잖아요ㅎ
P1 	: 8년 만났는데요?
P0 	: 제가 항해사였잔ㄹ아요ㅎ
P1 	: 네네
P0 	: 그래서 6개월타고 2개월쉬고 이랬었어요ㅎ
P0 	: 그러던 어느날 전 여친이 임신했다고 하더라구요
P1 	: 왓?
P0 	: 전 너무 행복했는데
P0 	: 전 여친은 아니었나봐요
P1 	: 시기가 안 맞았어요?
P1 	: 아...제가 너무 앞서갔네요
P1 	: 들을게요
P0 	: 아니요ㅎㅎ
P0 	: 괜찮아요ㅎ
P0 	: 시기도 맞았고
P0 	: 배를타고 내리는 시기였으니
P1 	: 아하
P0 	: 너무 행복해있었는데 아이를 지운다고 하더라구요ㅎ
P0 	: 전 여친의 미래를 생각해서 그러라했고
P0 	: 위성전화로 병원에다가 전화했었어요ㅎ
P1 	: 아..옆에 같이 있지도 못하셨구나
P0 	: 배타고 있는 상태여서 이제 집에가는 항차였었은데
P1 	: 네네
P0 	: 그때 나이가 어렸었어요ㅎ 26이나 됬었나?
P0 	: 전 여친은 나이가 1살어려서 25살
P1 	: 멘붕이었겠어요 솔직히
P0 	: 글죠ㅎ
P0 	: 그래도 그이후로 잘지냈어요ㅎ
P1 	: 그런데..?
P0 	: 결혼도 생각했고 휴가때 부모님들에게 인사도하고
P0 	: 결국은 사소한걸로 터지더라구요ㅎ
P0 	: 한번은 휴가때 카톡을 보게되었는데
P1 	: 네
P0 	: 친구랑 7080인가? 그런데를 간거에요ㅎ
P0 	: 대화내용이 너무 좀 그래서ㅎㅎㅎ
P1 	: 밤사같은?!
P1 	: 어우
P0 	: 스킵쉽을 얼마만에 해본지 모르겟다면서
P1 	: ㅠ_ㅠ
P0 	: 너무좋았다고 다음에 또가자고 하는것듣고ㅎㅎㅎ
P0 	: 신뢰가 무너졌죠ㅎㅎ
P1 	: 마음 와장창
P0 	: 결국 헤어지게된거에요ㅎㅎ
P1 	: 아니 뭐 물론 이해는 해요
P1 	: 남자친구가 배타고 멀리 있으니까
P0 	: 아이를 지운것도 버텼는데ㅎㅎㅎ
P1 	: 자주 만나지도 못하고
P0 	: 그거하나에 무너지더라구요ㅎ
P0 	: 맞아요ㅎ
P1 	: 그럼 헤어지고 가시지..7080
P0 	: 그럴수있다고 생각은 들어요ㅎ
P1 	: 왜 사귀는도중에 가냐고요 왜
