# FILE DATA
ID : MDRW2100011595
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 책 좋아하세요?
P1 	: 좋아하긴 하는데
P1 	: 요즘은 자주 못 읽어여
P0 	: 좋아하는 책 있으세요?
P1 	: 음
P1 	: 저는 소년이 온다 떠오르네요
P1 	: 아세요?
P0 	: 네 한강 작가
P0 	: 저 그거 보고 정말
P0 	: 펑펑 울었어요
P1 	: 저도요
P1 	: 너무 슬프죠
P0 	: 네 진짜 너무 마음 아파서 ㅜㅜ
P0 	: 저 카페에서 읽었는데
P0 	: 마지막에 너무 울어서
P0 	: 결국 화장실가서 울고왔어요
P1 	: 그 정도군요 ㅎㄹ
P1 	: ㅎㅎ
P1 	: 저도 많이 울었네요
P1 	: 마지막 어머니 부분..
P0 	: 아 네 맞아요
P0 	: 그 부분 진짜 끕끕 소리나게 울음 터져가지고 ㅜㅜ
P1 	: 네 근데 너무 슬퍼서 두번은 못 읽겠더라구요
P0 	: 저도 완전 인생책 중의 하나인데
P0 	: 다신 못 읽을 것 같긴 해요
P0 	: 채식주의자도 보셨어요?
P1 	: 아 네
P1 	: 그건 저는 그냥 그랬던 것 같아요
P0 	: 앗 저두요
P0 	: 그건 완전 별로
P0 	: 뭔 내용인지 모르겠어요
P1 	: ㅎㅎ 저도요
P1 	: 그거 먼저 보고 소년이 온다 봤는데
P1 	: 완전 다른 느낌이었어요
P0 	: 네 맞아요
P0 	: 그건 진짜 등장인물들도 다 이해 안가고 ㅋㅋ
P0 	: 맨부커상 받았다던데..
