# FILE DATA
ID : MDRW2100045866
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅌㅌㅋㅋㅋㅋ알리오 은근 되게 어려워보여요
P1 	: 전 아직 한 번도 안 해봤는데
P1 	: 페퍼론치노 넣으시나요??
P0 	: 저는 레드페퍼넣었어요!
P1 	: 헉 두 재료가 다른 건가요??
P0 	: 헉 잘 몰라요!
P0 	: 고 추 종류가 여러개 일 것 같아요
P0 	: 저는 그냥 마트에서 집어온거라 ㅎㅎㅎㅋㅋㅋㅋ
P1 	: ㅌㅋㅌㅋㅋㅋㅋ필터링 너무 웃겨요 ㅡㅌㅋㅌㅌㅋㅋㅋㅋ
P0 	: ㅋㅋ
P0 	: 눈치채셨군여..
P1 	: 이럴수가 집에 없는데 안 넣으면 이상한가요..?
P0 	: 진짜 별게 다 나쁜말 ..
P0 	: 저는 매콤하고싶었어요!
P0 	: 근데 저는 넣어도 별로였기때문에!!!!
P0 	: 신경쓰지않아도 될 재료같아요
P0 	: ㅋㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋ
P1 	: ㅋㅌㅌㅌㅌㅌㅌㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㄴㅋㅋㅋㅋㅋ어떤 부분이 별로셨길래.ㅣㅋㅋㅋㅋ
P1 	: 간이 잘못됐었나요?
P0 	: 흠 그게 제일이에요
P0 	: 면은 항상 적당한 식감이거든요
P1 	: 네네
P1 	: ㅋㅋㅋㅋㅋ면은 완벽한데
P1 	: 간이 왔다갔다 하시는건가욬ㅋㅋㅋ
P0 	: 네네 글쳐...
P0 	: 불파게티는 잘하는데...(?)
P1 	: 헉 불파게티는 뭐예요?
P1 	: 이름이 짱 맛있어보여요
P1 	: 헉 불파게티는 뭐예요?
P1 	: 이름이 짱 맛있어보여요
