# FILE DATA
ID : MDRW2100024310
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 공유해주셔야해요!
P0 	: ㅋㅋㅋㅋㅋ 저의 도시락을요?
P1 	: 널리 자랑하셔야하는 솜씨이실거라구용
P0 	: ㅠㅠ 너무 자랑하면 피곤할 일도 생기더라구요
P1 	: 이쁜도시락은 보는것도 즐거운걸용
P0 	: 너도 나도 밥 해달라고...ㅋㅋㅋ
P1 	: 엇ㅋㅋㅋㅋㄱㅋ
P0 	: 그렇게 술안주 담당이 되어버린다구요..ㅠㅠ
P1 	: 부작용이 크네요ㅋㅋ
P0 	: &name1&네 집에 가서 술먹자~~!!
P1 	: 으윽.. 이럴수가
P0 	: 너 요리 잘한다며 ㅡㅡ?!! 감바스해줘!!
P1 	: 희생이 크네요ㅋㅋㄲㅋㅋ
P1 	: 너무 많이 겪으셨군요ㅋㅋ
P0 	: 근데 제가 또요리해주는거 좋아해서
P0 	: 그런건 괜찮은데 뭔가 평가하듯이 시키면 해주기 싫어요 ㅜ
P1 	: 아..막 먹고나서 사족 붙인다던가 그런건가요?!
P0 	: 막 그러진 않은데!
P0 	: 너 OO 그런거 할 줄 안다며? 얼마나 맛있나 먹어보게 한번 해줘봐!
P0 	: 이런거요 ㅜㅜ
P1 	: 아ㅜㅠ 그건 싫네요
P1 	: 딱 평가를 암시하는 말이네요
P1 	: 먹어봐줄게 이런 느낌 이네요
P0 	: 어 맞아요 ㅋㅋㅋ
P0 	: 그래서 막 부담스러운데 옆에서 재료 뭐 넣는지 다 지켜보고 조리과정 다 지켜보는 것도 너무 싫어요
P1 	: 와우.. 지켜보는분도 있군요
P0 	: ㅋㅋㅋ냉장고 맘대로 뒤져보는 분도 있는데요 뭘 ㅠ
P1 	: 완전 시어머니 옆에서 요리하는거같네요
P1 	: 으악ㅠ 말도 안하고요?
P0 	: 물론 극히 일부의 사람들 얘기에요..
P0 	: 네네ㅠ 허락도 없이
P0 	: 평소에 뭘 해먹고 사는지 궁금해서 열어봤다네요
P1 	: 역시 일부가 문제에요
