# FILE DATA
ID : MDRW2100029136
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 님네는 그럼 공지용 카톡방이 없나요
P1 	: 그건 따로 있죠
P1 	: 에타에서 공지 안 함
P1 	: 거긴 진짜 걍 잡담/홍보용
P0 	: 그건... 당연함
P0 	: 헐...
P0 	: 잡담... 뭐 함??
P1 	: 걍 전공 수업얘기나
P1 	: 진로... 아니면 교수님...
P0 	: 왕신기
P1 	: 어떤 수업이 낫냐 이런 글도 많고
P0 	: 우리도 그런 거 있었음 좋겠다...
P1 	: 이쪽 진로로 가려면 어떻게 하는 게 좋아요? 하는 db글도 자주 보이는
P1 	: 요즘은 정정 기간이라... 관련 글들 많고...
P0 	: 우리는 그냥 그런 것들 아는 선배한테만 물어보는데
P1 	: 이런 얘기를 익명으로 하지 않는단 말이야
P1 	: 신기하네
P0 	: 아는 선배나... 학생회장이나
P1 	: 우린 분위기가 그래서 더 그럴지도
P1 	: 족보도 아는 선배 통해서 안 하고 커뮤니티에서 공유하잖아요
P0 	: 우린... 족보가 없으니까
P1 	: 님네 다른 과는 그럴걸
P0 	: 교수님 취향에 대한 정보는 선배한테 묻긴 함
P1 	: 그니까 그런 db가
P1 	: 우리는 인맥으로 하는 걸 별로 안 좋아해서
P0 	: 교양 족보는 커뮤니티에서 구하긴 하지
P1 	: 걍 다 쌓아둠 커뮤니티에
P0 	: 헐...
P1 	: 커뮤니티도... 서로 연락해서 구하는 게 아니라
P1 	: 그냥 게시판 같은 게 있음
P1 	: 족보도
P0 	: her..
P0 	: 근데 뭐... 취향 같은 건 크게 중요한 요소는 아니라서
P0 	: 꼭 구할 필요가 없긴 하지
P0 	: 필요성을 못 느껴서 그런 걸지도 모름
P1 	: 걍... 우리학교 분위기임
P1 	: 다른 학교들은 원래 그래요
P0 	: 기본적으로 선후배 관계가 나쁘지 않은 분위기라 그럴 수도 있고
P1 	: 나도 우리학교가 특이하다고 선배들한테 얘기 많이 들었음
P0 	: 그렇군......
P1 	: 우리학교니까...
