# FILE DATA
ID : MDRW2100007404
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 딱한번 찍고
P0 	: 완전 멋있어...{emoji:☆}
P1 	: 계속 하락세라... 맘잡고 복구해보려고요...ㅋㅋㅋ
P1 	: 앗... ㅋㅋㅋ
P0 	: 하락세는 올라갈일만 남았다는 뜻입니다..!
P1 	: 감사해요!!{emoji:♡}!! 2학기 힘냅시다 ㅎㅎ
P0 	: 2학기 저희는 대면 강행한다는데
P0 	: 전체 비대면 하시나요??
P1 	: 저는 이론과목은 비대면이라 녹강이고
P1 	: 교내실습은 대면이라
P1 	: 1주일에 2일 정도 나가용
P0 	: 뭔가 부러워요..
P0 	: 저흰 이론 수업만 하는데 4일 나가요...
P1 	: 아니 대면 장난하는건가...
P1 	: 근데 저희 1주일만 저렇게 하는거고
P1 	: 상황보고 정한대요 ...
P1 	: 근데 지금 대면은 정말
P1 	: 아닌거같아요...ㅜㅜ
P0 	: 눈치게임 하는 느낌..?
P0 	: 진짜 이론수업 대면 강행한다고 수업의 질에 크게 차이는 없는데
P0 	: 그냥 등록금 깎아주기 싫어서라고 밖에 안 보여요...ㅎ
P1 	: 그쵸... 대면 비대면 다해봤는데 저는 오히려 비대면일때가 나은거 같아요...
P1 	: 별로 깎아주지도 않으면서...그냥 전면 비대면 했으면ㅜㅜ
P0 	: 저희 시험은 강경대면으로 치는데
P0 	: 왜 그러는지 진짜 모르겠어요
P1 	: 저희도 시험은 대면으로 꼭 보는데
P1 	: 근데 비대면으로 한번 봤을때
P1 	: 전 좀 불편했어요 ㅜㅜ
P0 	: 시험 비대면은 은근 까다롭더라고요
P0 	: 저희도 레포트로 받고 화상 시험으로 치고 해봤는데
P0 	: 레포트가 그나마 나았던거 같아요
P1 	: 그리구 절대평가로 바꿔서 점수좀 퍼주면 좋을거 같은데
P1 	: 절대 안바꿔주더라구요 ...ㅜ
P0 	: 진짜 교수님들 너무하세요
