# FILE DATA
ID : MDRW2100040604
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 다행히도 제가 술먹을때 안주 잘 안먹어서
P0 	: 네네
P1 	: 안시키게 되더라구요
P0 	: 저는 하도 맛있다는 말만 들어서
P1 	: 그냥 프레첼이면 됨 ㅋㅋㅋ
P0 	: 궁금했는데
P0 	: 양이 적다는 말만 들었어요
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ
P0 	: &name2&님 진짜 위장튼튼이신가봐요
P1 	: ㅋㅋㅋㅋ아저는 배부른게 싱ㅎ어요
P1 	: 안주많이먹고 술도 많이먹으면
P1 	: 엄청 토하기땜에..
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 헉 그런가요?!
P0 	: 저는 위장을 보호한다는 개념으로
P0 	: 안주를 많이 먹었는데!!!
P1 	: 술을 많이 안드시니까 괜찮으신거같아요
P1 	: 저는. .술을...ㅎ...
P1 	: 에..
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 위스키를 제일 좋아해요
P1 	: 맥주랑
P0 	: &name2&님 진짜 멋지다
P0 	: 춤도 잘추고
P0 	: 술도 잘마시고
P1 	: 에? 아닙니닼ㅋㅋㅋ그저 술쟁이일 뿐인걸요
P1 	: 저는 제가 좀 정말 술을 안좋아했으면 해요 ㅠ
P1 	: 너무 먹어서 ㅠ
P0 	: 건강검진에서
P0 	: 술을 줄이라는 소견을 들으셨나요?!
P1 	: 네
P1 	: 당연라죠
P0 	: 헉 그렇다면
P0 	: 진짜 줄이셔야겟네요ㅠ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ근데 그 기준
P1 	: 너무 낮던데요...?
