# FILE DATA
ID : MDRW2100047303
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 결론은
P1 	: 이미 중나에도 시장가가 7천원이고
P0 	: 방금 동생들에게 파인트 베라쿠폰주니까
P0 	: 내동생들 넷이 웅성웅성 함ㅋㅋ
P1 	: 둘 아니었음? ㅋㅋ
P0 	: 아 중나 시세 싸네 담에 거기서 구해야겠당ㅋ
P0 	: 단체 챗방 있는데 이종사촌동생까지 있음 우리는 함께 놀았거든
P1 	: 그것도 올라오면 바로 순삭되는 가격은 아니었음 ㅋㅋ
P0 	: 어케 저런게 자꾸생기지? 웅성웅성함 난 설명해주기 기차늠ㅋ
P0 	: 더우면 순삭할껄
P1 	: 음 그래도 썩 올라가지않음
P1 	: 보통 그정도 가격 형성되면 거기맞춰올림
P0 	: 아..중고나라 말고 당근은?
P1 	: 그래서 당근에만 올림
P0 	: 난 중고나라 싫엉ㅜ 신뢰가 안감ㅜㅜ
P1 	: 3500 이랑 7000에
P0 	: 암튼 돈벌었구만 ㅊㅋㅈㅋ
P1 	: 근데 거기도 3400에 안팔리고있는거가 있었음
P1 	: 그말인 즉 내가 3300 으로 올려야한다는 말임
P1 	: 근데 연락온 사람은 3200원함
P1 	: 그래서 그사람한테 둘다 데려가면 10000해준다함
P1 	: 이해함? ㅋㅋ
P0 	: 오 확내림
P0 	: 골치아픈걸 치워주만 파격할인 가능한분이시군요
P0 	: 파격할인해주는 당신은 천사!
P0 	: 머리아픈거 한번에 해결했네
P1 	: 사람 심리가 올려놓음 얼른 팔고 싶어함
P1 	: 근데 팔고나면 후회함
