# FILE DATA
ID : MDRW2100029740
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네네! 당연하죠ㅎㅎㅎㅎ
P0 	: 바바님도 보셨나요???
P1 	: 네!! 전 문명특급은 다 봐요ㅎㅎㅎ
P1 	: 스테이씨 노래만 알고 멤버는 다 몰랐는데
P1 	: 어제 다 알게됐어요 너무 귀여워요ㅜㅠㅠㅠ
P0 	: 저도 문특 완전 사랑해요 어제 zㅐzㅐ mz세대 따라한거 너무 웃겼어요ㅎㅎㅎ
P0 	: 책은 자주 읽는 편이신가요???
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋzㅐzㅐㅋㅋㅋ
P1 	: 책은...보는 것만?보는데 책 많이 보세요?
P0 	: 저는 책이라곤 웹툰이랑..... 엄..... 네 웹툰밖에 안보는거같아요...ㅎ
P1 	: 아ㅎㅋㅋㅋㅋㅋ웹툰 요즘 뭐가 재밌나요?
P1 	: 전 소녀의 세계랑 유미의 세포 봤던 기억이 있네요
P1 	: 유미의 세포 끝나고 웹툰을 안봤어요ㅎㅎ
P0 	: 유미의 세포 저도 재밌게봤어요!
P0 	: 요즘 윰세포 작가님이 신작 내셔거 그거 보고있어요ㅎㅎ
P1 	: 신작 나왔어요???????
P1 	: ㅇ0ㅇ
P1 	: 오 봐야겠네요
P0 	: 네! 제목이 조조코믹스에요!
P0 	: 이것도 아직 초반이긴 하지만 재밌어요ㅎㅎㅎ
P1 	: 앗ㅋㅋㅋㅋㅋ 재밌을것같아요
P1 	: 다른 웹툰도 추천해주실수있나요?
P1 	: 한번 들어가니까 다른것도 보고싶네요ㅎㅎ
P0 	: 몇주전에 완결났기는 했는데 동트는 로맨스도 재미있게 봤어요!
P0 	: 이거 유료화 되기전에 보시길 추천해용ㅎㅎㅎ
P1 	: 오
P1 	: 재밌어보여요!!!!
P0 	: 네! 캠퍼스 로맨스인데 정말 재밌습니다! 강추해요ㅎㅎㅎ
P0 	: 아까 책 보신다고 하셨는데 최근엔 어떤책 보셨어요???ㅎㅎ
P1 	: 베르나르베르베르 아세요??
P1 	: 프랑스 작가인데
P1 	: 정말 재밌어요ㅎㅎㅎ
P1 	: 마지막으로 제3인류를 봤는데 넘 재밌었어요
