# FILE DATA
ID : MDRW2100020786
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 나도 전혀 생각 못한 특성이라
P0 	: 요리하긴 편할듯 ㅋㅋㅋㅋ
P1 	: ㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 얘는 설정이 그럼
P1 	: 억케되지
P1 	: 스네즈나야 출신 되는건가?
P0 	: 일단 몬드로 분류되어있대
P0 	: 정확한건 게임 업데이트 돼봐야 할듯
P1 	: 오 그럼
P1 	: 아예 드래곤스파인 출신되는건가?
P0 	: 그럴지도?
P0 	: 모션이랑 의상 봤는데
P0 	: 일단 맨다리 아니고 옷 톤도 어두워셔
P0 	: 일러보다는 괜찮아보임
P1 	: ㅇㅇ그치만 원작에 비해 너무 가느다랗긴 하더라
P1 	: 그래도 이게 어디야
P1 	: 좀 쓸만하면 좋겠다
P1 	: 그럼 차라리 소를 향한 미련을 좀 덜어낼텐데
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러게
P0 	: 성능 나쁘지 않아보이는데
P0 	: 감우의 대체재고 소랑은 다른 계열인듯
P1 	: ㅇㅏ근데 대검이나 장병기캐 필요한데
P1 	: 지금 딜에 약간
P1 	: 벽느끼는 중이라
P0 	: 뭔가 탱커나 근딜?
P1 	: ㅇㅇ.....
P1 	: 4성 한손검캐들만
P1 	: 꽉차가지고
P1 	: 딜 모자라....
P1 	: 바위츄츄폭도 방패를 못깨
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 얘 특성이 빙결인데
P0 	: 직접 써봐야겠지만
P1 	: 난 설마
P0 	: 꽤 강력해보임
P1 	: 무조건 동결상태인가 했네
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그럼 ㄹㅇ개사긴데
P0 	: 그정돈 아닐듯
P1 	: ㅇㅇ
P1 	: 난 원소 단일에도 좀 효과 있었으면 좋겠어
P1 	: 얼음원소 뭍으면 좀 느려진다던가
P0 	: 그거 있어
P1 	: 아 그래??
P1 	: 근데 별로
P0 	: 얼음 뭍으면 지금도 느려지지 않아ㅡ
P0 	: ?
P1 	: 체감은 안돼
