# FILE DATA
ID : MDRW2100047364
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 잘 보시는 티비프로나 이런거 있으신가요
P1 	: 저 전참시
P1 	: 나혼산
P1 	: 펜트하우스요 ㅋㅋ
P0 	: 아 저 펜트하우스 잘 봤었는데 3부턴 못보고 있어요 ㅋㅋㅋ
P0 	: 맨날 죽였다 살려서 ㅋㅋㅋ
P1 	: 그작가 원래 그래요 ㅜㅜ
P1 	: 맨날 죽고
P1 	: 살고
P1 	: 저번주 대박이였어요 ㅡㅡ
P0 	: ㅋㅋㅋㅋ 그쵸.. 누가 죽어도 진짜 죽은거 맞는지 의심부터..
P1 	: 참이게 봐야하나 싶고
P0 	: 또 누가 살아났나요? ㅋㅋㅋㅋ
P1 	: 아뇨 천서진이
P1 	: 똭 배에
P1 	: 샹들리에이 떨어져서
P0 	: 아 그거 영상으로 봤어요 샹들리에 맞죠
P1 	: 잔인했어요
P0 	: 너무 자극적이던데 ㅠㅠ
P1 	: 참나
P1 	: 네
P0 	: 연기는 진짜 잘하더라고요
P1 	: 근데 이제 얼마 안남아서 달릴수 밖에 없네요
P1 	: 다잘해요 ㅎㅎ
P0 	: ㅋㅋㅋㅋ 저도 궁금해서 마지막회는 볼거 같아요
P1 	: 그럼요 막방은 봐야죠 ㅋㅋ
P1 	: 아 죽는 사람이 있긴 한지 모르겠어요 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 진짜 다 살아나면 웃길거 같아요
P1 	: 맞아요
P1 	: 근데 뭐 지금도 다살아나니
P1 	: 유진만 살아나면 될것 같아요
P0 	: 아 유진은 아직 죽은 상태군요
P1 	: 네
P1 	: 어찌 살리나 몰라요
P1 	: 전 상상리 안되요
P1 	: 안살아 날까요?
P0 	: 뭔가 주인공급이라 살거 같기도 하고요
P1 	: 그렇죠
P1 	: 도대체 죽어도 믿을수가 없어요 ㅋㅋ
