# FILE DATA
ID : MDRW2100030272
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 진짜 정치와 법임
P1 	: 정치 그리고 법
P1 	: 법은 가장 상위법인
P1 	: 헌법 중심으로 많이 배워
P1 	: 근데 진짜 재밌어
P0 	: 와..
P1 	: 사회탐구 과목 중 제일 재밌음
P0 	: 저거 다 외워야 해?
P0 	: 법 말이야
P1 	: 헌법을?
P1 	: 오우 아뇨
P0 	: 웅웅
P1 	: 약간
P0 	: 오 다행이다 다 외워냐 하는줄
P1 	: 법의 내용을 중심으로 배우기보단
P1 	: 법의 정신?
P1 	: 그런거랑
P1 	: 기본 원리
P0 	: 웅웅 법의 정신이라니
P0 	: 신기하다
P1 	: 의미와 목적을 통해
P1 	: 실현 방안을 중심으로 배워
P1 	: 예를 들어 국민 주권주의가 있는데
P1 	: 의미는 국가 의사를 결정하는 주권이 국민에게 있다라는 것이고
P0 	: 응응
P1 	: 실현 방안은 참정권 보장이랑
P0 	: 오 참정권 들어봣어
P1 	: 언론, 출판, 집회, 결사의 자유를 보장하는 것
P1 	: 복수 정당제가 있어
P1 	: 재밌지 않아?
P1 	: ...ㅎ
P0 	: ....ㅎ 하나도 재미없어보임
P1 	: 아 맞아
P1 	: 우리 수능 50일 기념으로
P1 	: 25기 선배님들에게
P0 	: 텍스트 문자만 봐도 내잼없어
P1 	: 선물 드린다
P0 	: 웅웅
P0 	: 와 뭐 주ㅜ?
P1 	: 학교 풍습같은 건데
P1 	: 이번에
P1 	: 각인 텀블러랑
P1 	: 초콜릿 안에 담아서
P1 	: 편지랑 같이 드릴 예정
P1 	: 이거 내 아이디어였어
