# FILE DATA
ID : MDRW2100009677
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그
P1 	: 엑소콘어트
P0 	: 네네
P0 	: 저는 그
P1 	: 다녀오셨다고하셨죠?!
P0 	: 벗은거
P1 	: 네
P1 	: ㅔㅣㅣㅣㅣㅣ???!?!!
P0 	: 근데 저는 엑소 콘서트는 사실
P0 	: 아니 기억이 잘 안나요
P0 	: 약간 화난상태로 갔다가
P1 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 화난상태로 돌아와서
P0 	: 앵그리버드
P1 	: 왜... 왜 화가 콘서트인데
P0 	: 저도 스탠딩이었는데
P0 	: 휴..^^
P0 	: 밀리고 밀치고
P0 	: 그리고 거기 굿즈도 제대로 못사고 그래가지고
P1 	: ^^,....
P1 	: 아 MD
P0 	: 하지만 같은 공간에 있어 행복했다
P0 	: 엠디 줄도 엄청길고
P1 	: 진짜 그걸로 가죠 콘서트는
P0 	: 맞아요
P0 	: 근데 그걸 제대로 못사서 진짜
P1 	: md 진ㅉㅏ 새벽 6시에 가야
P0 	: 
P1 	: 겨우 사는
P0 	: 맞아요 맞아요
P0 	: 저는 그 기억나는게
P0 	: 그 엑소 마마때 채움콘서트라고 있었거든요
P1 	: 와 마마면
P1 	: 2012아닌가요
P0 	: 그거 당첨되서 갔는데 선착순이라 해가지고
P0 	: 맞아욬ㅋㅋㅋㅋㅋㅋ
P0 	: 텐트치고 노숙해서 들어가서
P0 	: 경수야!!! 이랬는데 경수가 보고 웃어줬던게 아직도 기억나요
P1 	: 와...!!!!
P1 	: 성덕이시네요
P0 	: 뒷사람들이
P0 	: 경수 불러줘서 고맙다고 그랬어요
P1 	: 와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 제가 고맙쥬
P1 	: 이게 진짜 성덕이죠
P1 	: 멋져요
P0 	: 맞아요
P1 	: 엑소콘서트는
P1 	: 클럽타임 있다고
P0 	: 글고 싸인회는 다녀오셨나요
P1 	: 친구가 자랑하던거 기억나요
P0 	: 아주
P0 	: 즐긴모양인데요
P0 	: ㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 팬싸... 너무 비싸지 않나요
P1 	: 200은 기본으로 보는 거 같던데
