# FILE DATA
ID : MDRW2100034618
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 코로나전에 뭐가 제일 그리우세요?
P1 	: 여행도 그렇구요ㅠ
P0 	: 아 ㅜㅜ
P1 	: 그냥 숨을 시원하게 쉬기만해도 좋을거같아요ㅠ
P0 	: 맞아요
P0 	: 마스크 너무 갑갑해요
P1 	: &name1&님은 어떤게 그리우세요?
P0 	: 음 저는 영화관에서 팝콘 먹고 싶어요 ㅌㅋㅋ
P1 	: 아ㅋㅋ
	  진짜 이렇게 소소한거 못한다는게 너무 슬프네요ㅠ
P1 	: 저는 배드민턴이나 피아노 드럼 이런거 배워보고싶은데
P1 	: 괜히 여러군데 돌아다니다가 코로나 걸리거나 걸리게할까봐
P1 	: 그것도 걱정돼서 쉽게 배우러 못가겠더라구요
P0 	: 맞아요 뭔가
P0 	: 제가 슈퍼전파자가 될거같고 막 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 맞아요ㅋㅋㄱ
	  제가 걸리는건 그나마 괜찮은데
P1 	: 제가 옮기는건 진짜 싫어요ㅠ
P0 	: 맞아여 ㅜㅜ
P0 	: 민폐될까봐 ㅋㅋㅋ 창피하기도 하고욬ㅋㅋㅋ
P1 	: 마자요 민폐되는느낌ㅜ
P1 	: 미안하고 창피하고 다하죠ㅠ
P0 	: 맞아요
P0 	: 예전엔 경로도 뿌렸잖아요 ㅋㅋㅋㅋㅋ
P1 	: 그쵸 초반에는 경로도 알려줘서ㅠ
P0 	: 맞아요
P1 	: 그래도 주변에는 막 소문나고 할거같아요ㅠ
P0 	: 맞아요 부끄럽기도하고..
