# FILE DATA
ID : MDRW2100046083
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경기
device : 스마트폰
keyboard : 단모음

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 근데 전 사기만 사고 정리는 왤케 못하는지 모르겠어요
P0 	: 그래도 이 주제가 제일 광범위한듯...ㅋㅋ
P0 	: 전 정리병있어서
P0 	: 정리는 잘하는편이에요
P1 	: 오오 그게 좋은 거죠ㅠㅠㅠ
P1 	: 전 뭔가 무질서해요...
P0 	: 혹시넷플하시나요?
P1 	: 그래도 정리하려고 칸막이 사긴 했는데 휴
P1 	: 넷플 지금은 끊었어요ㅜㅜ
P0 	: 글쿤용
P0 	: 거기보면 안도 어쩌고 하는 일본여자분나와서
P1 	: 그것도 고르는 데 한참 시간 쏟고ㅋㅋㅋ
P0 	: 정리도와주는데
P0 	: 나름볼만한..ㅋㅋ
P1 	: 오 좋은데요
P1 	: 저 좀 도와줬음 좋겠는ㅋㅋㅋㅋㅋ
P0 	: 신박한정리인가
P1 	: 아 그거 알아요
P0 	: 한국프로그램이 그거 따라핱거라구하더라고용
P0 	: 그거보면
P1 	: 오오 원조가 있는지 몰랐네요
P0 	: 저희같은
P0 	: 쟁임병걸린사람들 ㅋㅋㅋ
P1 	: 핫딜러가 나오나욬ㅋㅋㅋㅋ
P0 	: 나오는것같던데
P0 	: ㅋㅋㅋㅋ
P1 	: 역시ㅋㅋㅋㅋ글로벌하네요ㅋㅋㅋㅋ
P0 	: ㅠㅠㅋㅋㅋㅋ
P0 	: 그게제일웃겼어요
P0 	: 신동인가 나오는데
P0 	: 정리를하려고 이제 또 정리함을사는
P1 	: 저도 보면 엄청 웃을 거 같아요ㅋㅋㅋㅋㅋ
P1 	: 아 헐
P1 	: 저 정리함 샀는데ㅋㅋㅋㅋㄱ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅠㅠㅠㅠ
P1 	: 정리하려면 정리용품 사야져
P0 	: 근데 거기서 신동은 약간
P1 	: 네이버 멤버십데이에
P1 	: 샀어요ㅋㅋㅋㅋㅋㅋ
P0 	: 잘기억은안나는데 좀 어이없는 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 전 그때 코트 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 빨리 또 돌아오면 좋겠어요
P0 	: 그날만기다립니다...
