# FILE DATA
ID : MDRW2100017730
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 경영/관리직
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 요즘 일은 어때
P1 	: 흠 크게 바쁘지도 않으면서 할 일은 있어서 괜춘한듯?
P1 	: 근데 기획이 은근 손 많이 간다
P0 	: 계획세우기는 끝남?
P1 	: ㅇㅇ 그거는 화욜에 끝나고 이제 그것대로 일하는중
P0 	: 조율하는 부서가 제일 힘들지
P0 	: 괴롭히는 사람은 없니
P1 	: 조율이랄지..아무래도 첫 기둥을 세우는 쪽이다보니까?
P1 	: ㅋㅋㅋㅋㅋㅋ 당장엔?
P1 	: 그냥저냥 잘 지내고 있음
P0 	: ㅋㅋㅋㅋ그나마다행이네
P1 	: 하지만 방심하지 않는닷...!
P1 	: 넌 이제 일 좀 늘어남??
P0 	: 팀장님이 이것저것 시키니까
P0 	: 거기 하나씩 손대고있는데
P0 	: 그러다보니 이런저런 일이많네
P0 	: 내일은 외국담당자들이랑 연락한다
P1 	: 헐 멋있다
P1 	: 그럼 너도 외국어로 솰라솰라 하는거??
P0 	: 말로는 못하겠어서
P0 	: 메일로하지ㅋㅋㅋ
P1 	: 이욜 간지
P0 	: 사실 한국에서도 메신저랑 메일이
P0 	: 제일편함
P0 	: 전화.. 시러욧
P1 	: 나는...낡은 함수 찾아서 새 함수로 치환하는거 했는데
P0 	: 업무전화받을일은 별로없지?
P1 	: 걍 노가다인데 옆에 막 코드 띄워놓고 하니까
P1 	: 괜히 있어보이는 기분
P1 	: 전화...나도 싫어
P1 	: ㅇㅇ 난 아예 없어
P0 	: 칼퇴했어?
