# FILE DATA
ID : MDRW2100017218
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 지금 직장인이신가요??
P1 	: 저는 회사다녀요!
P0 	: 아뇨 저는 지금 백수에요 ㅋㅋㅋㅋ 집에서 뒹굴뒹굴 해요
	  개인적인 이유로 퇴사후에 쉬고 있어요
P0 	: &name2&님 직장 생활은 어떠세요?
P1 	: 그렇군요,, 푹 쉬면서 충전하고 또 좋은 직장에서 새출발 하실 수 있을거에요 ㅎㅎ
P1 	: 저는 일 시작한지 얼마 안되었어요
P1 	: 그래서 그냥 흘러가는대로.. 시키는대로만 일하고 있어요 ㅋㅋㅋ
P1 	: 취준할때 눈이 많이 높았는데 현실과 타협해서 들어온것이다보니 열정도 안생기네요ㅠ
P0 	: 처음에 진짜 적응하기 어렵죠.... 저만 그랬나요ㅠ ㅋㅋㅋㅋ 뭘해도 어색하고 ㅠㅠ
P0 	: 아 그러면 진짜 좀 힘들죠...아이고
P1 	: 저도 그래요 ㅎㅎ 처음 한달동안은 긴장한 상태로 8시간 있다보니까 아무것도 안한날에도 집오면 피곤하더라구요 ㅋㅋㅋ
P1 	: 그래도 눈 안낮추고 계속 취준만 하자니 집에있기 너무 눈치가 보여서.........
P1 	: 그래서 지금 일하는게 더 좋긴 해요 ㅎㅎ
P1 	: 거의 2년을 했거든요ㅠ
P0 	: ㅠㅠㅠㅠㅠㅠ고생하셨어요
P0 	: 마음고생니 심했겠어요
P1 	: 좀 힘들었는데.. 만약에 제가 코로나 전에 취준하는거였으면 남들 다 취업하는데 나만 못한다고 제탓하느라 더 힘들었을거같아요.. 그나마 코로나 때문에 모두가 힘든시기라 그런거라고 스스로 위안했어욬ㅋㅋㅋ
P1 	: &name1&님은 워라밸 vs 연봉 뭐가 더 중요하세요??
P0 	: 맞아요 저도 코로나니까 어차피 갈데 없다 이 기회에 쉬는게 낫다 정신승리하면서 쉬고 있답니다 ㅠ 저희 둘 다 힘내요
P0 	: 으아 너무 어려운데...ㅠㅠㅠㅠ
P0 	: 적정선의 노동이면 연봉이겠지만 그게아닌 극한까지 치닫는 노동이라면 워라밸이요
P0 	: 몸도 몸인데 몸이 축나는 순간 멘탈도 같이 부셔지더라구요..
P0 	: &name2&님은요?
P1 	: 조아요 힘냅시다!!
P1 	: 저도 워라밸이요 저 지금 다니는 회사 전에 인턴으로 6개월 근무했던적이 있거든요..? 인턴이라 월급도 최저였는데 기본 밤 10시에 퇴근했던 기억이 있어요..
P1 	: 그때 6개월하는동안 스트레스때문에 탈모가 왔었어요 ㅋㅋㅋㅋ
P1 	: 근데 퇴사하니 싹 낫더라구요
P1 	: 젊을때 일할수있을때 많이 벌어놔야한다고들 하지만
P1 	: 병원비로 돈이 더 나갈거같아요...
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 그러면 일많은데 팀원 좋음 vs 일없는데 팀원 그지같음
P1 	: 어떤게 좋으세요??
P0 	: 저는 분위기가 더 중요해요 팀원좋음이 좋습니다
P0 	: 팀원이 그지같으면 퇴사욕구가 솓구쳐요
P0 	: 뭐야솟구쳐요
P1 	: ㅋㅋㅋㅋ저도요.. 일많고 사람좋으면 배울게 더 많겠죠 ㅎㅎ
P1 	: 으으음 아르바이트 하신 적은 있으신가요?!
P1 	: 전 학교다닐때 버블티집에서 알바했었어요 ㅋㅋㅋ
P0 	: 오 버블티 자주 드셨어요? 저도 알바는 고등학교 졸업하면서부터 계속 했었어요
P1 	: 네,, 저는 버블티 좋아해서 알바한거였거든요 일하는 내내 먹을 수 있었어요
P1 	: 어떤 알바하셨나요?!
P0 	: 완전 좋은 직장이었네요! 저는 파스타집에서 알바했었어요
