# FILE DATA
ID : MDRW2100022090
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 가사 가족이군요ㅎㅎ
P0 	: 그낭 하고 싶은 말 하시라구요 ㅎㅎ
P0 	: 그래야 마음에 병도 안생겨요
P1 	: 아아ㅎㅎㅎㅎ
P1 	: 이젠뭐 병도 없어요ㅎㅎ
P1 	: 포기를해서ㅎㅎ
P1 	: 이야기하면 길어져요ㅎ 너무너무ㅎㅎ
P1 	: 3년동안 살아왔던이야기라ㅎㅎ
P0 	: 아고
P1 	: ㅎㅎㅎ 너무 걱정마요ㅎ
P1 	: 오히려 행복해요ㅎ
P0 	: 그럼 다행이구요
P1 	: 다 그런거 아니겟어요?ㅎ 인생이라는게 내마음대로 가면 인생이 아니잖아요ㅎ
P0 	: 앞르로 꽃길만 걸음 되죠 ㅎㅎ
P1 	: 처음에는 절때 이혼은 안된다 생각햇는데ㅎ 지금와서 생각해보면
P1 	: 왜그랬을까 생각하게되더라구요ㄹ
P0 	: 가족이니까 사랑하던 사람이니까
P1 	: 감사해요ㅎ 그래도 위로해줄 사람이 한명은 있으니 다행이네요ㅎ
P0 	: 아이 엄마니까  더 잡고 싶으셨을거에요
P1 	: 그렇죠ㅎ
P1 	: 사랑했던사람인데 그랬는데ㅎ
P1 	: 본인도 스트레스였을꺼에요ㅎ
P1 	: 육아도 힘든데 나한테도 스트레스받으니
P0 	: 음 이유는 과소비 인거에요?
P0 	: 딱 꼽으라면
P1 	: 서로을 위해 헤어지는게 맞아요ㅎ 아이한테는 미안하지만ㅎ 아이는 엄마가 잘 돌봐주니깐 걱정없어요ㄹ
P1 	: 아니요ㅎ
P1 	: 음.. 다말해드릴까요?
P1 	: &name1&님 주무셔야하는뎅ㅎㅎㅎ
P0 	: 제 의견보단 ㅎㅎ
P0 	: &name2&님 마음이지요~~
P1 	: 음 간략하게 말하자면ㅎ
P1 	: 일단 제가 돈돈거리는게 싫어했고
P1 	: 저늠 성격이 빨리빨리하는 성격이고 아내는 신중한 성격ㅇ이에요
P0 	: 네넴
P1 	: 그러다보니 의사결정할때 자꾸 틀어졌어요ㅎ
P1 	: 그리고 육아에대해서도 아내말은 곧 법이어서
P1 	: 제가 끼어들면 곧싸움으로 일어났구요
P1 	: 아내는 또 결벽증이있어요ㅎ 손씻는거 청소하는거
P0 	: 복합적이네요
P1 	: 엄청 예민해서 제가 다 치우다보니깐 거의 매일 청소했던것같애요 지금도 3일?일주일?
P1 	: 뭐이런식으로 하다보니 저도 스트레스고 아내도 스트레스고
P1 	: 그리고 식사문제도 달라요ㅎ 저한테 밥 차려준게 10번 안되요ㅎ 다 시켜먹거나 아니면 라면끓여주고
P0 	: 에공  ㅠㅠ
P1 	: 아이에게도 돌지나서 이유식 안하고 배달시켰어서 저는 아빠입장에서 조금 화가 많이나요
P1 	: 저한테안해줘도 되는데 아이한테까지는 안그래야하는데
P1 	: 이건 제 주관적인 거라ㅎㅎ
P1 	: 또 사댁에 대한 관점이 다른것같애요
P1 	: 시댁ㅎ
P1 	: 아버지가 너무 좋아해서 아내에게 장난을 치는데 그게 불편하대요
P0 	: 음 이게 누가 잘못이다
P0 	: 할수가 없는 상황이네요
P1 	: 그리곤 언젠가 한번은 대들고 아이를 보여주기 싫다고 하네요
P1 	: 글죠ㅠ
P1 	: 또 말하자면 부부관계를 안해요
P1 	: &name1&님이 여자라 죄송한데
P0 	: 아녀 괜찮아요
P1 	: 뭐 이런저런 이유들로 서로 각자의 길을 선택한거에요 ㅎ
P1 	: 아내가 저를 미워하는 감정도 알았오
P1 	: 고
P1 	: 저도 그렇구요ㅎ
P0 	: 틈이 조금씩 조금씩 ...확 커진 느낌이네요
P1 	: ㅎㅎ암튼 그래요ㅎ 그래서 지금은 울고있지않고ㅎ 웃고다녀요ㅎㅎ
P0 	: 그럼 다행이구요
P1 	: 언젠가 좋은 추억으로 남을 것같애요ㅎ
P1 	: 내가 잘못한것도 반성도할겸ㅎ
P0 	: 다시 노력해보는것도 좋지만
P0 	: 각자의  길로 가는것도 또한  하나의 방법인거 같아요
P1 	: 맞아요ㅎ
P1 	: 각자 서로 마음편하게 사는게 좋아요 ㅡㅎ
P0 	: 인생에 답은 없으니
P1 	: 부부가 아닌 엄마아빠로의 삶이 좋은것같애요ㅎ
P0 	: 하루하루  잘살아 가면  될거 같아요
P1 	: 저는 지금도 아이 양육권 친권 다 가지고오고 싶지만
P1 	: 아내의 삶과 아이의 행복을 위해선 양보해야하는것같애요
P1 	: 가족이야기가 나와서 말인데ㅎ 우리 애기가 특별하거든요ㅎ
P1 	: 만삭일때 일본여행갔다가 낳았아요ㅎㅎ 엄청 고생해서
P0 	: 에고   일본에서 낳은거에요?
P1 	: 네네ㅎ
P0 	: 어머 그런일더 있네요
P1 	: 태교여행가자고 아내가 그래서ㅎㅎ
P1 	: 어마무시해ㅛ어요ㅎㅎ
P0 	: 일찍.태어났구나
P1 	: 리 할때 안됫어요?
P0 	: 한참이죠 ㅎ
